Character,Radical,CharFreq,Radicals,ChatGPT_Token_IDs
中,丨,2432.6963,['丨'],[40792]
马,马,761.7383,"['馬', '马']","[165, 102, 105]"
门,门,671.4716,"['門', '门']","[29785, 101]"
申,田,74.0099,['田'],"[18796, 111]"
曲,曰,183.6395,['曰'],"[162, 249, 110]"
黑,黑,515.4074,"['黑', '黒']","[165, 119, 239]"
簪,⺮,0.3407,"['⺮', '竹']","[163, 108, 103]"
案,木,245.9753,['木'],"[162, 94, 230]"
投,扌,930.4444,"['扌', '手']","[162, 232, 243]"
时,日,3481.5852,['日'],"[33768, 114]"
稳,禾,77.0667,['禾'],"[163, 101, 111]"
干,干,650.4247,['干'],"[33176, 110]"
话,讠,1630.0198,"['讠', '言']","[46237, 251]"
财,贝,316.6173,"['貝', '贝']","[164, 112, 95]"
耳,耳,114.8889,['耳'],"[32003, 111]"
别,刂,1379.6741,"['刂', '刀']","[26344, 104]"
敝,攵,0.4494,"['攴', '攵']","[46763, 251]"
打,扌,1268.5037,"['扌', '手']","[33699, 241]"
拓,扌,13.8025,"['扌', '手']","[162, 233, 241]"
庄,广,42.4346,['广'],"[41753, 226]"
阻,阝,67.8864,"['邑', '阜', '阝']","[165, 246, 119]"
班,王,543.8222,"['王', '玉']","[163, 237, 255]"
野,里,158.0247,['里'],"[34932, 236]"
兵,八,156.0346,"['丷', '八']","[17739, 113]"
温,氵,323.9556,"['氺', '水', '氵']","[162, 116, 102]"
恭,小,135.0074,['小'],"[162, 223, 255]"
描,扌,38.7753,"['扌', '手']","[162, 237, 237]"
鬼,鬼,202.5086,['鬼'],"[165, 45539]"
俯,亻,6.5185,"['人', '亻']","[46479, 107]"
流,氵,454.5778,"['氺', '水', '氵']","[38184, 223]"
闷,门,109.2988,"['門', '门']","[29785, 115]"
急,心,137.8222,"['心', '忄']","[45250, 98]"
畜,田,9.363,['田'],"[45911, 250]"
开,廾,2714.321,['廾'],"[28156, 222]"
韧,韦,7.6296,"['韋', '韦']","[165, 253, 100]"
款,欠,217.1062,['欠'],"[162, 105, 122]"
业,一,474.0938,['一'],"[10310, 248]"
遵,辶,17.6049,['辶'],"[34402, 113]"
完,宀,1007.679,['宀'],"[22522, 234]"
必,心,472.3951,"['心', '忄']","[33232, 227]"
不,一,15110.2864,['一'],[38834]
艺,艹,145.5457,['艹'],"[164, 231, 118]"
窒,穴,6.2321,['穴'],"[163, 103, 240]"
垄,土,3.5259,['土'],"[161, 252, 226]"
鬓,髟,1.4173,['髟'],"[165, 105, 241]"
黎,黍,82.1136,['黍'],"[165, 119, 236]"
盲,目,18.6914,['目'],"[33566, 110]"
暴,日,104.6074,['日'],"[162, 248, 112]"
敬,攵,76.642,"['攴', '攵']","[46763, 105]"
参,厶,586.9383,['厶'],"[20998, 224]"
