Character,Radical,CharFreq,Radicals,Qwen_Token_IDs
笔,⺮,133.9556,"['⺮', '竹']",[100041]
籍,⺮,19.7235,"['⺮', '竹']",[100533]
篮,⺮,38.8049,"['⺮', '竹']",[100926]
笼,⺮,62.9481,"['⺮', '竹']",[101600]
筛,⺮,6.6667,"['⺮', '竹']",[101737]
箭,⺮,24.2667,"['⺮', '竹']",[102682]
筋,⺮,26.2272,"['⺮', '竹']",[102714]
篷,⺮,7.6049,"['⺮', '竹']",[103640]
筷,⺮,11.284,"['⺮', '竹']",[103731]
筝,⺮,5.3136,"['⺮', '竹']",[103801]
簧,⺮,1.9111,"['⺮', '竹']",[103849]
筒,⺮,24.4049,"['⺮', '竹']",[106000]
笨,⺮,55.7136,"['⺮', '竹']",[108727]
笛,⺮,7.6395,"['⺮', '竹']",[110427]
笋,⺮,6.5185,"['⺮', '竹']",[111313]
簇,⺮,1.5605,"['⺮', '竹']",[112594]
簿,⺮,6.158,"['⺮', '竹']",[113649]
竿,⺮,2.6123,"['⺮', '竹']",[114898]
笃,⺮,1.8469,"['⺮', '竹']",[116046]
箫,⺮,1.8667,"['⺮', '竹']",[117921]
笙,⺮,1.9309,"['⺮', '竹']",[118563]
箔,⺮,0.7704,"['⺮', '竹']",[119069]
篱,⺮,2.484,"['⺮', '竹']",[119081]
筐,⺮,2.0049,"['⺮', '竹']",[119120]
籁,⺮,2.958,"['⺮', '竹']",[119254]
箍,⺮,2.4,"['⺮', '竹']",[119272]
筏,⺮,0.5728,"['⺮', '竹']",[119437]
箕,⺮,0.6173,"['⺮', '竹']",[119473]
箩,⺮,1.037,"['⺮', '竹']",[119474]
篓,⺮,0.9333,"['⺮', '竹']",[119490]
篡,⺮,0.9185,"['⺮', '竹']",[119506]
簸,⺮,2.8148,"['⺮', '竹']",[119522]
竺,⺮,1.042,"['⺮', '竹']",[119899]
笆,⺮,1.1062,"['⺮', '竹']",[120424]
笺,⺮,0.7605,"['⺮', '竹']",[120713]
笠,⺮,1.2198,"['⺮', '竹']",[120718]
笤,⺮,0.1235,"['⺮', '竹']",[120720]
笞,⺮,0.1383,"['⺮', '竹']",[120723]
筵,⺮,0.5679,"['⺮', '竹']",[120982]
箴,⺮,25.4815,"['⺮', '竹']",[121638]
篝,⺮,1.4321,"['⺮', '竹']",[121785]
簪,⺮,0.3407,"['⺮', '竹']",[121990]
第,⺮,1358.8889,"['⺮', '竹']",[29437]
管,⺮,509.9111,"['⺮', '竹']",[35551]
符,⺮,28.7259,"['⺮', '竹']",[38304]
笑,⺮,755.9753,"['⺮', '竹']",[48738]
等,⺮,1261.6889,"['⺮', '竹']",[49567]
签,⺮,173.5753,"['⺮', '竹']",[61755]
算,⺮,510.2074,"['⺮', '竹']",[69103]
箱,⺮,148.4198,"['⺮', '竹']",[73296]
简,⺮,249.8173,"['⺮', '竹']",[98237]
策,⺮,46.1778,"['⺮', '竹']",[99560]
答,⺮,197.2049,"['⺮', '竹']",[99590]
筑,⺮,33.7136,"['⺮', '竹']",[99671]
筹,⺮,53.521,"['⺮', '竹']",[99779]
篇,⺮,88.0988,"['⺮', '竹']",[99824]
兼,八,22.1185,"['丷', '八']",[100258]
兽,八,73.0222,"['丷', '八']",[101336]
冀,八,2.4346,"['丷', '八']",[103288]
兹,八,21.0963,"['丷', '八']",[105828]
兮,八,11.2247,"['丷', '八']",[113774]
公,八,897.0864,"['丷', '八']",[34317]
其,八,747.7383,"['丷', '八']",[41146]
共,八,169.3284,"['丷', '八']",[54899]
具,八,198.3704,"['丷', '八']",[76813]
养,八,234.5778,"['丷', '八']",[99298]
兴,八,315.6148,"['丷', '八']",[99355]
兰,八,153.0963,"['丷', '八']",[99533]
典,八,153.0914,"['丷', '八']",[99548]
六,八,224.8395,"['丷', '八']",[99566]
八,八,255.2296,"['丷', '八']",[99568]
兵,八,156.0346,"['丷', '八']",[99807]
关,丷,976.716,"['丷', '八']",[29256]
皆,白,25.6247,['白'],[104201]
皓,白,3.0025,['白'],[110667]
皂,白,11.9704,['白'],[114765]
皋,白,0.6173,['白'],[119031]
皈,白,0.958,['白'],[120163]
皑,白,1.6395,['白'],[120731]
皎,白,0.8049,['白'],[120732]
的,白,32392.158,['白'],[9370]
白,白,793.2346,['白'],[99243]
百,白,375.1753,['白'],[99271]
皇,白,103.842,['白'],[99767]
匆,勹,16.7605,['勹'],[101750]
匀,勹,26.7111,['勹'],[102912]
匈,勹,1.9556,['勹'],[103670]
勾,勹,27.7235,['勹'],[105170]
勿,勹,31.7086,['勹'],[108710]
勺,勹,15.9358,['勹'],[109148]
匍,勹,0.558,['勹'],[120186]
匐,勹,0.5185,['勹'],[120744]
包,勹,667.2148,['勹'],[67279]
宗,宀,52.2716,['宀'],[100401]
宏,宀,31.8568,['宀'],[100481]
宿,宀,62.7852,['宀'],[100540]
寒,宀,205.3531,['宀'],[100718]
宇,宀,59.9457,['宀'],[100732]
宅,宀,98.1827,['宀'],[101326]
寄,宀,41.2889,['宀'],[101400]
寨,宀,14.7457,['宀'],[101505]
寓,宀,40.1975,['宀'],[101516]
宠,宀,39.9309,['宀'],[101532]
宴,宀,38.2272,['宀'],[101578]
寂,宀,95.3037,['宀'],[101749]
宰,宀,21.7679,['宀'],[101829]
宙,宀,23.3432,['宀'],[102591]
寞,宀,82.879,['宀'],[103258]
宪,宀,5.1506,['宀'],[103295]
宛,宀,4.6667,['宀'],[103654]
寝,宀,9.5951,['宀'],[103788]
寡,宀,23.2296,['宀'],[108230]
寅,宀,1.1506,['宀'],[111928]
宵,宀,91.5309,['宀'],[111962]
寇,宀,23.0469,['宀'],[113345]
寰,宀,1.9654,['宀'],[118082]
宦,宀,0.3852,['宀'],[119170]
寥,宀,3.363,['宀'],[119478]
宕,宀,1.6889,['宀'],[119969]
寐,宀,3.6593,['宀'],[121065]
定,宀,1269.8667,['宀'],[22382]
密,宀,244.2469,['宀'],[27641]
容,宀,475.8667,['宀'],[36629]
实,宀,1113.1802,['宀'],[39973]
家,宀,4086.3062,['宀'],[45629]
完,宀,1007.679,['宀'],[46306]
安,宀,1186.3111,['宀'],[50285]
客,宀,685.6593,['宀'],[64754]
宋,宀,26.5037,['宀'],[73038]
审,宀,52.2716,['宀'],[75223]
宝,宀,613.9556,['宀'],[99388]
察,宀,137.3235,['宀'],[99400]
官,宀,220.0494,['宀'],[99412]
富,宀,188.6914,['宀'],[99415]
害,宀,347.3877,['宀'],[99441]
室,宀,216.1136,['宀'],[99478]
宁,宀,127.6593,['宀'],[99503]
宣,宀,62.3111,['宀'],[99576]
它,宀,613.2938,['宀'],[99652]
守,宀,126.8247,['宀'],[99821]
宜,宀,95.2593,['宀'],[99841]
宽,宀,70.9235,['宀'],[99845]
宫,宀,101.2049,['宀'],[99921]
宾,宀,47.5605,['宀'],[99991]
