Character,Radical,CharFreq,Radicals
中,丨,2432.6963,['丨']
马,马,761.7383,"['馬', '马']"
门,门,671.4716,"['門', '门']"
申,田,74.0099,['田']
曲,曰,183.6395,['曰']
黑,黑,515.4074,"['黑', '黒']"
簪,⺮,0.3407,"['⺮', '竹']"
案,木,245.9753,['木']
投,扌,930.4444,"['扌', '手']"
时,日,3481.5852,['日']
稳,禾,77.0667,['禾']
干,干,650.4247,['干']
话,讠,1630.0198,"['讠', '言']"
财,贝,316.6173,"['貝', '贝']"
耳,耳,114.8889,['耳']
别,刂,1379.6741,"['刂', '刀']"
敝,攵,0.4494,"['攴', '攵']"
打,扌,1268.5037,"['扌', '手']"
拓,扌,13.8025,"['扌', '手']"
庄,广,42.4346,['广']
阻,阝,67.8864,"['邑', '阜', '阝']"
班,王,543.8222,"['王', '玉']"
野,里,158.0247,['里']
兵,八,156.0346,"['丷', '八']"
温,氵,323.9556,"['氺', '水', '氵']"
恭,小,135.0074,['小']
描,扌,38.7753,"['扌', '手']"
鬼,鬼,202.5086,['鬼']
俯,亻,6.5185,"['人', '亻']"
流,氵,454.5778,"['氺', '水', '氵']"
闷,门,109.2988,"['門', '门']"
急,心,137.8222,"['心', '忄']"
畜,田,9.363,['田']
开,廾,2714.321,['廾']
韧,韦,7.6296,"['韋', '韦']"
款,欠,217.1062,['欠']
业,一,474.0938,['一']
遵,辶,17.6049,['辶']
完,宀,1007.679,['宀']
必,心,472.3951,"['心', '忄']"
不,一,15110.2864,['一']
艺,艹,145.5457,['艹']
窒,穴,6.2321,['穴']
垄,土,3.5259,['土']
鬓,髟,1.4173,['髟']
黎,黍,82.1136,['黍']
盲,目,18.6914,['目']
暴,日,104.6074,['日']
敬,攵,76.642,"['攴', '攵']"
参,厶,586.9383,['厶']
缘,纟,117.042,"['糸', '纟']"
内,冂,521.6,['冂']
秉,禾,2.7309,['禾']
痛,疒,446.3704,['疒']
错,钅,798.3111,"['钅', '金']"
矮,矢,21.4272,['矢']
粗,米,55.0815,['米']
问,门,1053.9802,"['門', '门']"
换,扌,348.558,"['扌', '手']"
撞,扌,80.0741,"['扌', '手']"
卵,卩,7.6444,['卩']
毒,母,153.9605,"['毋', '母']"
国,囗,1661.2593,"['囗', '口']"
默,黑,134.6667,"['黑', '黒']"
蹿,足,1.3481,['足']
转,车,591.0963,"['车', '車']"
隐,阝,79.5358,"['邑', '阜', '阝']"
算,⺮,510.2074,"['⺮', '竹']"
但,亻,1326.7605,"['人', '亻']"
幼,幺,51.0667,['幺']
小,小,2825.2741,['小']
滚,氵,115.3136,"['氺', '水', '氵']"
民,氏,368.5778,['氏']
成,戈,2464.4938,['戈']
盔,皿,5.8469,['皿']
苯,艹,1.7975,['艹']
爽,爻,180.4395,['爻']
姑,女,107.9605,['女']
折,扌,154.8296,"['扌', '手']"
亵,亠,2.4741,['亠']
传,亻,554.637,"['人', '亻']"
解,角,559.3086,['角']
散,攵,113.2741,"['攴', '攵']"
方,方,1010.4889,['方']
混,氵,146.3556,"['氺', '水', '氵']"
梦,木,507.4716,['木']
团,囗,248.1728,"['囗', '口']"
求,水,581.1506,"['氺', '水', '氵']"
海,氵,619.8173,"['氺', '水', '氵']"
余,人,76.0198,"['人', '亻']"
放,攵,1139.7531,"['攴', '攵']"
喏,口,1.8568,"['囗', '口']"
通,辶,590.5877,['辶']
训,讠,164.642,"['讠', '言']"
概,木,74.9827,['木']
牧,牜,23.0568,"['牜', '牛']"
柜,木,59.1012,['木']
鸿,鸟,22.2914,"['鳥', '鸟']"
滑,氵,80.237,"['氺', '水', '氵']"
懊,忄,3.4321,"['心', '忄']"
稠,禾,4.0099,['禾']
贝,贝,247.3975,"['貝', '贝']"
耐,而,82.1926,['而']
