,Unnamed: 0,Character,Radical,CharFreq,Radicals,TokenIDs,Length,Bytes,Radical_family,List_radical,Radical_len,List_neither,Pair_radical,Pair_neither,Groups
0,0,中,丨,7.796755509673657,"('丨',)",[16325],1,e4b8ad,3,"['个', '串']",2,"['传', '可', '前', '并', '展', '友', '预', '将', '键', '番', '换', '来', '型', '华', '商', '信', '链', '址', '反', '政', '持', '需', '程', '设', '点', '取', '表', '或', '络', '为', '店', '出', '投', '核', '午', '播', '一', '算', '思', '间', '实', '整', '英', '款', '版', '合', '江', '由', '编', '制', '问', '尔', '平', '男', '速', '除', '口', '息', '初', '相', '进', '之', '别', '地', '岁', '异', '何', '东', '社', '推', '责', '们', '箱', '给', '雅', '步', '结', '元', '例', '内', '束', '题', '基', '态', '大', '专', '宋', '复', '标', '法', '视', '试', '微', '近', '里', '入', '这', '读']",个,这,
1,1,门,门,6.509471721695857,"('門', '门')",[65789],1,e997a8,4,"['问', '间', '闭']",3,"['介', '持', '流', '额', '频', '电', '读', '次', '值', '别', '程', '万', '立', '看', '保', '示', '里', '都', '海', '初', '木', '约', '述', '图', '能', '查', '管', '除', '组', '原', '型', '限', '店', '治', '条', '算', '话', '审', '入', '接', '款', '使', '及', '键', '社', '动', '东', '节', '秒', '中', '预', '界', '放', '例', '理', '您', '亿', '大', '同', '时', '务', '箱', '所', '近', '工', '客', '种', '画', '不', '页', '复', '名', '内', '院', '华', '法', '年', '增', '完', '串', '输', '取', '结', '岁', '拉', '以', '供', '经', '步', '好', '台', '消', '则', '求', '简', '这', '推', '平', '从', '景']",间,次,
2,2,案,木,5.505231124387227,"('木',)",[81742],1,e6a188,20,"['标', '查', '木', '样', '核', '模', '机', '检', '来', '条', '格', '果', '板', '本', '构', '权', '束', '未', '析']",19,"['户', '源', '版', '陆', '达', '退', '感', '整', '最', '持', '产', '义', '图', '游', '速', '命', '化', '同', '余', '享', '政', '提', '步', '款', '增', '字', '误', '场', '库', '能', '击', '者', '番', '明', '分', '题', '或', '不', '反', '个', '修', '然', '连', '力', '男', '示', '老', '工', '态', '询', '认', '稿', '信', '思', '动', '语', '片', '起', '导', '编', '地', '算', '族', '真', '广', '具', '重', '闭', '流', '头', '可', '进', '直', '周', '止', '左', '大', '章', '试', '推', '审', '级', '视', '除', '位', '午', '计', '否', '使', '活', '处', '给', '存', '土', '少', '及', '则', '四', '种']",果,动,"['查', '来', '木']"
3,3,投,扌,6.83566232147597,"('扌', '手')",[80172],1,e68a95,17,"['打', '换', '接', '指', '据', '持', '报', '按', '找', '播', '提', '推', '排', '拉', '技']",15,"['需', '输', '英', '止', '息', '约', '男', '期', '像', '共', '只', '传', '球', '是', '引', '有', '步', '之', '秒', '核', '检', '端', '存', '则', '填', '笑', '岁', '基', '超', '目', '余', '也', '年', '示', '编', '析', '变', '本', '链', '感', '出', '资', '然', '局', '量', '章', '事', '导', '方', '来', '藏', '频', '这', '样', '预', '还', '江', '述', '容', '修', '片', '始', '形', '友', '其', '再', '钮', '要', '过', '键', '入', '否', '于', '市', '小', '优', '价', '款', '分', '代', '日', '系', '二', '由', '最', '转', '制', '书', '实', '及', '等', '省', '邮', '内', '外']",换,书,"['拉', '按', '持']"
4,4,时,日,8.155242986293416,"('日',)",[13646],1,e697b6,7,"['明', '星', '日', '景', '易', '是']",6,"['具', '藏', '则', '两', '止', '或', '木', '容', '密', '键', '打', '导', '项', '化', '京', '五', '尔', '放', '库', '应', '发', '得', '调', '检', '选', '算', '统', '别', '送', '考', '部', '但', '可', '学', '箱', '述', '线', '城', '将', '头', '山', '格', '少', '听', '站', '思', '一', '找', '称', '工', '软', '多', '稍', '们', '雅', '载', '种', '微', '展', '该', '题', '播', '后', '海', '稿', '同', '含', '员', '表', '产', '机', '原', '位', '审', '队', '回', '人', '换', '点', '录', '近', '画', '必', '话', '请', '件', '功', '参', '转', '下', '午', '志', '径', '版', '见', '他', '告']",易,容,"['明', '是', '星']"
5,5,话,讠,7.396347440966295,"('讠', '言')",[58543],1,e8af9d,20,"['评', '认', '议', '请', '调', '说', '语', '试', '证', '记', '设', '论', '该', '计', '读', '详', '误', '询']",18,"['听', '如', '岁', '修', '回', '连', '必', '付', '有', '志', '原', '还', '年', '省', '例', '县', '东', '微', '本', '额', '退', '现', '日', '你', '转', '指', '布', '果', '午', '能', '对', '整', '共', '引', '万', '环', '在', '流', '限', '雅', '链', '木', '件', '总', '者', '小', '所', '确', '笑', '清', '账', '备', '源', '常', '大', '未', '步', '口', '按', '基', '结', '院', '番', '案', '取', '签', '前', '雷', '内', '作', '从', '三', '么', '合', '重', '代', '看', '海', '方', '品', '心', '条', '期', '效', '审', '企', '库', '检', '税', '稍', '交', '好', '或', '信', '我', '供', '电']",该,本,"['设', '询', '读']"
6,6,别,刂,7.229602590840933,"('刂', '刀')",[64022],1,e588ab,9,"['到', '制', '列', '利', '则']",5,"['素', '时', '版', '和', '步', '历', '要', '志', '立', '队', '余', '求', '注', '通', '后', '过', '木', '好', '整', '软', '题', '中', '米', '事', '了', '去', '所', '链', '管', '复', '秒', '板', '感', '等', '器', '向', '哈', '调', '错', '票', '家', '失', '只', '门', '及', '他', '语', '闭', '份', '始', '西', '消', '店', '能', '主', '四', '修', '限', '老', '系', '为', '权', '最', '部', '货', '种', '以', '接', '口', '度', '检', '移', '介', '运', '发', '员', '试', '你', '取', '这', '必', '任', '项', '参', '之', '送', '司', '签', '水', '件', '上', '政', '活', '册', '台', '性', '共', '近']",则,素,"['到', '利', '列']"
7,7,打,扌,7.145593295865985,"('扌', '手')",[76537],1,e68993,17,"['投', '换', '接', '指', '据', '持', '报', '按', '找', '播', '提', '推', '排', '拉', '技']",15,"['球', '求', '源', '当', '址', '向', '应', '安', '思', '利', '任', '简', '题', '试', '箱', '义', '间', '最', '些', '模', '及', '速', '责', '详', '子', '宋', '税', '好', '案', '级', '将', '告', '件', '上', '了', '你', '份', '这', '右', '检', '素', '基', '章', '二', '哈', '中', '年', '月', '交', '程', '稍', '调', '亿', '计', '大', '变', '型', '友', '秒', '得', '介', '退', '平', '通', '完', '共', '稿', '服', '岁', '英', '解', '册', '也', '管', '活', '额', '星', '停', '为', '功', '代', '先', '业', '备', '从', '误', '发', '重', '移', '回', '日', '但', '败', '务', '原', '标', '辑', '小']",拉,业,"['持', '找', '技']"
8,8,流,氵,6.119369076086114,"('氺', '水', '氵')",[89753],1,e6b581,15,"['海', '没', '消', '清', '游', '法', '注', '江', '汽', '活', '治', '源']",12,"['省', '需', '析', '放', '播', '意', '改', '历', '稿', '拉', '右', '是', '东', '击', '最', '值', '读', '藏', '端', '电', '其', '转', '些', '停', '设', '参', '录', '素', '问', '号', '序', '如', '学', '作', '成', '份', '安', '该', '午', '名', '类', '按', '商', '代', '优', '院', '宋', '看', '分', '技', '销', '老', '前', '算', '视', '品', '岁', '计', '尔', '政', '费', '容', '族', '影', '单', '辑', '例', '秒', '们', '复', '发', '哈', '主', '十', '站', '务', '址', '效', '门', '密', '事', '与', '供', '雅', '为', '县', '止', '上', '提', '景', '下', '器', '环', '张', '误', '经', '资']",治,技,"['清', '消', '海']"
9,9,开,廾,7.906297109008765,"('廾',)",[30867],1,e5bc80,2,['异'],1,"['稍', '笑', '还', '元', '始', '场', '发', '族', '推', '子', '再', '频', '阳', '志', '先', '部', '得', '国', '尔', '传', '像', '天', '断', '速', '经', '束', '秒', '县', '组', '老', '宋', '界', '近', '直', '江', '按', '政', '语', '以', '击', '作', '件', '专', '相', '易', '院', '次', '务', '学', '日', '法', '核', '事', '北', '调', '需', '他', '索', '友', '持', '排', '运', '你', '好', '一', '项', '哈', '解', '只', '产', '输', '或', '供', '感', '第', '布', '更', '填', '游', '社', '记', '货', '权', '道', '软', '过', '确', '员', '优', '给', '示', '步', '案', '制', '号', '数', '家', '目', '具', '责']",异,权,
