,Unnamed: 0,Character,Radical,CharFreq,Radicals,TokenIDs,Length,Bytes,Radical_family,List_radical,Radical_len,List_neither,Pair_radical,Pair_neither,Groups
0,0,螺,虫,2.6750861408785425,"('虫',)","[164, 252, 118]",3,e89eba,9,"['蠢', '蠕', '螳', '螃', '蠖', '螈', '螂', '螅']",8,"['嶙', '鞘', '嶂', '嵩', '鞑', '嵌', '鞭', '鞠']",蠕,嵌,"['蠢', '螃', '螅']"
1,1,蠢,虫,3.9398774434444297,"('虫',)","[164, 254, 95]",3,e8a0a2,9,"['螺', '蠕', '螳', '螃', '蠖', '螈', '螂', '螅']",8,"['鞑', '嶂', '嵌', '鞘', '鞭', '鞠', '嵩', '嶙']",螺,鞠,"['螅', '蠖', '螃']"
2,2,嵌,山,1.2699009844400424,"('山',)","[161, 113, 234]",3,e5b58c,4,"['嵩', '嶙', '嶂']",3,"['螺', '鞘', '蠕', '螳', '鞠', '螂', '蠖', '螅', '螃', '鞭', '蠢', '螈', '鞑']",嶙,鞑,
3,3,鞭,革,4.907996257039027,"('革',)","[165, 252, 255]",3,e99ead,4,"['鞑', '鞠', '鞘']",3,"['嶂', '螈', '螃', '嶙', '螂', '螳', '螅', '蠕', '嵌', '嵩', '螺', '蠢', '蠖']",鞘,螳,
4,4,嵩,山,1.2809338454620642,"('山',)","[161, 113, 102]",3,e5b5a9,4,"['嵌', '嶙', '嶂']",3,"['鞑', '螅', '螂', '鞘', '蠕', '蠢', '鞠', '蠖', '螈', '螺', '螃', '螳', '鞭']",嶙,鞑,
5,5,鞑,革,-1.0202633222571331,"('革',)","[165, 252, 239]",3,e99e91,4,"['鞭', '鞠', '鞘']",3,"['蠖', '蠕', '嶙', '螈', '螺', '嵩', '螅', '螳', '嶂', '蠢', '螂', '嵌', '螃']",鞘,螳,
6,6,蠕,虫,1.172358290556594,"('虫',)","[164, 254, 243]",3,e8a095,9,"['螺', '蠢', '螳', '螃', '蠖', '螈', '螂', '螅']",8,"['嵌', '鞠', '鞭', '鞘', '嵩', '鞑', '嶙', '嶂']",螳,鞘,"['螺', '螅', '蠖']"
7,7,鞠,革,1.5404521837787817,"('革',)","[165, 252, 254]",3,e99ea0,4,"['鞭', '鞑', '鞘']",3,"['嵌', '蠕', '螺', '嶂', '嶙', '螂', '蠢', '蠖', '螃', '螈', '螅', '螳', '嵩']",鞑,嶙,
8,8,嶙,山,-1.303424883297596,"('山',)","[161, 114, 247]",3,e5b699,4,"['嵌', '嵩', '嶂']",3,"['蠖', '螺', '螃', '螂', '蠕', '蠢', '鞑', '鞭', '螅', '鞘', '鞠', '螳', '螈']",嶂,鞑,
9,9,螳,虫,0.3023982562874614,"('虫',)","[164, 252, 111]",3,e89eb3,9,"['螺', '蠢', '蠕', '螃', '蠖', '螈', '螂', '螅']",8,"['嶂', '鞑', '嵌', '嶙', '鞭', '鞘', '鞠', '嵩']",螺,鞠,"['螈', '螅', '螃']"
10,10,螃,虫,1.963048164999988,"('虫',)","[164, 252, 225]",3,e89e83,9,"['螺', '蠢', '蠕', '螳', '蠖', '螈', '螂', '螅']",8,"['鞘', '嵩', '嶂', '嵌', '嶙', '鞑', '鞠', '鞭']",螅,嶂,"['蠕', '螺', '蠢']"
11,11,蠖,虫,-3.922073341281647,"('虫',)","[164, 254, 244]",3,e8a096,9,"['螺', '蠢', '蠕', '螳', '螃', '螈', '螂', '螅']",8,"['嶙', '鞠', '鞭', '鞑', '嵩', '鞘', '嶂', '嵌']",蠕,嵌,"['蠢', '螳', '螈']"
12,12,嶂,山,-1.526476391719753,"('山',)","[161, 114, 224]",3,e5b682,4,"['嵌', '嵩', '嶙']",3,"['螃', '鞑', '螈', '螅', '蠖', '鞠', '鞘', '螂', '鞭', '螺', '螳', '蠕', '蠢']",嵩,蠕,
13,13,螈,虫,-2.220083871482302,"('虫',)","[164, 252, 230]",3,e89e88,9,"['螺', '蠢', '蠕', '螳', '螃', '蠖', '螂', '螅']",8,"['嶂', '鞠', '嶙', '嵌', '鞑', '嵩', '鞘', '鞭']",蠖,嶂,"['蠕', '螂', '蠢']"
14,14,螂,虫,1.5593228710022526,"('虫',)","[164, 252, 224]",3,e89e82,9,"['螺', '蠢', '蠕', '螳', '螃', '蠖', '螈', '螅']",8,"['鞑', '鞭', '嶂', '鞠', '鞘', '嵌', '嵩', '嶙']",螳,鞘,"['蠢', '螺', '螃']"
15,15,螅,虫,-3.2314546070750607,"('虫',)","[164, 252, 227]",3,e89e85,9,"['螺', '蠢', '蠕', '螳', '螃', '蠖', '螈', '螂']",8,"['嶂', '嵩', '嶙', '鞑', '鞭', '鞠', '鞘', '嵌']",螺,鞠,"['螂', '蠢', '蠖']"
16,16,鞘,革,-0.2292873860746992,"('革',)","[165, 252, 246]",3,e99e98,4,"['鞭', '鞑', '鞠']",3,"['螃', '螅', '嵩', '螈', '螳', '螂', '嶙', '蠖', '嶂', '嵌', '蠢', '螺', '蠕']",鞑,嶙,
