,Character,Radical,CharFreq,Radicals,TokenIDs,Length,Bytes,Radical_family,List_radical,Radical_len,List_neither,Pair_radical,Pair_neither
0,中,丨,7.796755509673657,"('丨',)",[1404],1,e4b8ad,5,"['丰', '临', '个', '串']",4,"['周', '超', '供', '馆', '悲', '色', '纸', '售', '辑', '啦', '贝', '确', '百', '码', '抢', '奶', '胖', '雄', '域', '会', '外', '晴', '旗', '阅', '坡', '片', '申', '履', '唯', '滤', '从', '两', '诀', '魔', '后', '耳', '殖', '鸣', '才', '墓', '些', '搜', '笔', '遭', '回', '疲', '梅', '厦', '问', '横', '佩', '晚', '乔', '跳', '店', '扣', '悦', '柜', '分', '珍', '召', '否', '界', '贤', '鹰', '席', '贡', '添', '容', '是', '撑', '限', '流', '驱', '研', '份', '迁', '去', '刀', '兆', '堡', '互', '递', '瓶', '骗', '诈', '哲', '想', '阳', '肯', '犯', '栋', '福', '梦', '艾', '帝', '啊', '青', '座', '你']",个,想
1,马,马,6.63560305837799,"('馬', '马')",[11877],1,e9a9ac,11,"['骚', '驱', '验', '驻', '骗', '驾', '驶', '驰', '骑', '骤']",10,"['浮', '杭', '谋', '咖', '元', '终', '糕', '外', '姚', '逆', '屋', '义', '企', '李', '个', '率', '又', '气', '不', '糖', '夺', '刻', '郑', '沿', '忽', '急', '玛', '运', '短', '推', '丝', '映', '兽', '焦', '苑', '作', '贡', '町', '晰', '因', '距', '蛋', '偷', '喊', '父', '途', '吟', '嘿', '编', '镇', '百', '史', '语', '旨', '命', '光', '野', '战', '把', '偏', '问', '等', '裂', '兆', '鉴', '吴', '刀', '袭', '物', '中', '染', '咪', '群', '村', '给', '羊', '更', '岩', '况', '庄', '扩', '鲸', '魔', '体', '拟', '胃', '丸', '折', '逊', '吾', '报', '每', '厉', '求', '晋', '诉', '泡', '陵', '默', '予']",骑,偏
2,门,门,6.509471721695857,"('門', '门')",[10759],1,e997a8,9,"['问', '闲', '阁', '间', '闭', '阅', '闪', '闻']",8,"['撸', '片', '屋', '舔', '而', '脑', '狠', '迅', '碰', '端', '独', '肯', '先', '档', '向', '帅', '匙', '玄', '授', '彻', '始', '个', '证', '适', '吐', '杭', '述', '辞', '旦', '招', '赠', '番', '谱', '树', '激', '槽', '摇', '佛', '烦', '莫', '跟', '望', '里', '阵', '忙', '一', '都', '荣', '摆', '惨', '粗', '办', '林', '串', '袖', '岁', '驾', '很', '计', '惯', '选', '欺', '刊', '癌', '成', '好', '召', '入', '屁', '彰', '雪', '芽', '起', '珍', '北', '娱', '踪', '挡', '山', '诚', '嫩', '击', '粮', '批', '鉴', '然', '玩', '增', '寒', '筋', '正', '煤', '驱', '让', '垃', '宾', '二', '旭', '突']",间,而
3,申,田,4.304198868039701,"('田',)",[19606],1,e794b3,15,"['电', '甲', '疆', '留', '男', '畅', '画', '町', '由', '界', '田', '略', '番', '甸']",14,"['奋', '损', '彻', '禧', '昔', '暴', '嘉', '按', '容', '逻', '肤', '知', '杂', '探', '迎', '姚', '送', '自', '袜', '栏', '克', '颜', '须', '揭', '也', '榜', '仔', '慰', '梨', '驱', '宴', '成', '归', '目', '歩', '庭', '摩', '凯', '想', '奶', '固', '毅', '修', '册', '映', '锋', '疲', '浪', '胃', '财', '嘎', '境', '梅', '侠', '席', '艇', '栗', '珍', '讯', '能', '尺', '竞', '周', '夏', '杉', '逸', '宁', '膜', '户', '斤', '环', '殖', '础', '惊', '寨', '影', '名', '妞', '偿', '赶', '炎', '己', '临', '坊', '肺', '一', '翁', '胆', '具', '北', '店', '涩', '婆', '访', '洲', '倍', '赚', '树', '盛', '久']",略,颜
4,曲,曰,5.2129745966589525,"('曰',)",[43628],1,e69bb2,8,"['曾', '更', '最', '替', '曼', '曹', '曰']",7,"['斗', '尺', '塘', '店', '淡', '慢', '倡', '正', '电', '株', '例', '豪', '夺', '啥', '翼', '纸', '赋', '乔', '翠', '舔', '几', '提', '南', '裸', '圈', '戒', '遣', '潮', '徽', '秘', '说', '楼', '坝', '签', '买', '映', '荷', '些', '菌', '枝', '外', '吴', '胡', '柄', '接', '痛', '巨', '故', '恶', '猛', '乐', '息', '间', '远', '羞', '植', '词', '饮', '爸', '养', '芸', '亿', '导', '抓', '洛', '梦', '待', '候', '剂', '塞', '罚', '侠', '癌', '禾', '规', '园', '毫', '辑', '址', '款', '播', '累', '阵', '模', '志', '嫁', '群', '句', '球', '画', '下', '禧', '唱', '怕', '函', '让', '诸', '急', '器', '丈']",曰,翠
5,黑,黑,6.244957655895558,"('黑', '黒')",[16599],1,e9bb91,3,['默'],1,"['覆', '冠', '消', '歌', '卷', '教', '闪', '章', '键', '备', '鲁', '嘉', '困', '坪', '蝶', '隆', '邮', '修', '腹', '健', '新', '粉', '意', '纷', '九', '径', '险', '虑', '练', '阳', '询', '彦', '冒', '治', '凰', '翔', '许', '芳', '乙', '才', '婚', '怀', '击', '逐', '羽', '献', '稿', '佛', '爵', '骨', '跨', '战', '穆', '袜', '残', '増', '承', '涵', '鸿', '托', '浦', '平', '义', '最', '但', '温', '隔', '述', '正', '皆', '解', '宝', '婆', '亿', '倾', '梨', '魅', '匙', '霞', '巴', '招', '寻', '选', '白', '或', '姓', '维', '入', '幸', '墨', '幼', '涉', '断', '也', '拜', '敏', '诚', '泡', '页', '村']",默,险
6,案,木,5.505231124387227,"('木',)",[19394],1,e6a188,87,"['梦', '概', '柜', '架', '染', '标', '枪', '末', '杯', '杀', '查', '柄', '松', '木', '样', '极', '核', '柱', '模', '柔', '楼', '机', '检', '来', '枝', '横', '杂', '条', '格', '果', '校', '树', '栋', '根', '板', '本', '林', '桥', '李', '桑', '栗', '村', '杏', '桃', '植', '械', '构', '柏', '梯', '棋', '权', '束', '楚', '杨', '椒', '未', '森', '朱', '杜', '框', '棚', '梨', '档', '析', '杆', '梅', '杰', '杉', '棒', '桌', '柴', '柳', '栏', '桂', '榜', '杭', '术', '材', '株', '梁', '枚', '槽', '札', '某', '桶', '橹']",86,"['惠', '践', '奏', '漫', '净', '听', '征', '收', '谁', '哭', '器', '玻', '远', '展', '威', '庆', '循', '喊', '它', '娇', '疲', '声', '盖', '藏', '遥', '妇', '踏', '享', '暴', '势', '阳', '规', '浜', '失', '刺', '滨', '真', '纯', '初', '鸭', '赵', '患', '反', '谈', '够', '入', '沟', '浮', '徒', '肯', '单', '虽', '冷', '仙', '注', '隆', '震', '猴', '被', '干', '越', '季', '哈', '彩', '随', '团', '空', '吐', '角', '寄', '晚', '仪', '均', '燃', '作', '效', '包', '祭', '命', '讯', '品', '战', '惨', '近', '吃', '江', '旭', '遂', '慢', '走', '旺', '喷', '先', '奥', '进', '制', '陆', '行', '评']",森,陆
7,投,扌,6.83566232147597,"('扌', '手')",[9074],1,e68a95,103,"['打', '拓', '描', '换', '撞', '折', '搜', '择', '掉', '授', '握', '探', '批', '拥', '接', '揭', '插', '拼', '措', '抽', '指', '损', '搏', '据', '抵', '持', '托', '报', '按', '招', '拖', '撤', '扑', '找', '播', '提', '扫', '抢', '扬', '摇', '担', '援', '扰', '操', '拔', '括', '推', '摄', '拍', '控', '才', '搞', '抗', '扎', '摆', '把', '扣', '执', '摘', '挂', '撮', '挥', '捕', '扶', '排', '搬', '搭', '拉', '抓', '披', '抱', '振', '护', '拘', '拒', '挺', '挑', '拾', '拆', '撒', '拟', '挡', '技', '挣', '押', '拨', '扩', '摸', '捷', '扒', '携', '擦', '撑', '揉', '撸']",95,"['磨', '班', '横', '压', '户', '喜', '果', '涨', '紫', '驶', '凝', '思', '窍', '对', '金', '婆', '泥', '町', '紧', '废', '径', '浆', '马', '奥', '赵', '刷', '川', '嘴', '奖', '寺', '柴', '赏', '械', '波', '轴', '环', '怖', '俺', '假', '日', '牌', '厨', '施', '聊', '幽', '萝', '海', '孔', '乘', '快', '朱', '翁', '案', '矩', '罩', '遗', '昨', '黑', '裸', '陷', '病', '语', '港', '苦', '戴', '透', '史', '视', '娱', '猛', '骗', '蕉', '那', '剧', '站', '胃', '贸', '至', '轨', '领', '框', '负', '双', '甚', '敌', '删', '栏', '订', '惑', '销', '人', '个', '小', '经', '棚', '方', '蛋']",担,压
8,时,日,8.155242986293416,"('日',)",[1728],1,e697b6,43,"['暴', '早', '普', '显', '旧', '旬', '明', '星', '智', '暮', '日', '晨', '晚', '曝', '暗', '映', '景', '晴', '春', '易', '昼', '暂', '暑', '晋', '旨', '昨', '暖', '昂', '晒', '是', '旺', '昆', '昌', '晓', '昭', '暇', '昔', '旦', '暨', '晶', '旭', '晰']",42,"['杭', '辑', '盒', '伊', '促', '尚', '赶', '伏', '苦', '聚', '边', '涯', '刷', '窗', '这', '改', '研', '毅', '义', '全', '侣', '捷', '水', '施', '农', '象', '笔', '挑', '党', '索', '盈', '佳', '洛', '烦', '间', '额', '嗯', '轴', '非', '展', '裂', '舟', '笑', '棒', '辖', '惑', '咖', '蜂', '江', '蕉', '先', '干', '博', '售', '深', '挺', '件', '嘴', '处', '六', '啥', '疗', '蒂', '赵', '川', '础', '阪', '竟', '俱', '你', '慎', '乐', '个', '中', '妓', '据', '香', '所', '障', '广', '忆', '艾', '探', '坚', '鲸', '遇', '酒', '下', '砖', '屋', '征', '绑', '汤', '对', '众', '默', '声']",是,你
9,稳,禾,4.34467128065597,"('禾',)",[25137],1,e7a8b3,19,"['私', '穆', '秒', '移', '秀', '税', '稿', '秋', '称', '积', '种', '秘', '稍', '科', '租', '程', '秦', '禾']",18,"['刊', '追', '占', '色', '与', '沉', '笑', '伦', '以', '篇', '多', '邦', '诱', '满', '诀', '社', '阿', '亚', '降', '姆', '毒', '厅', '红', '蜂', '画', '湾', '尔', '举', '旁', '幸', '绕', '借', '替', '繁', '伟', '裂', '矩', '衡', '骨', '终', '昼', '真', '窍', '裤', '况', '涩', '群', '影', '馈', '揉', '乡', '喜', '砂', '莎', '旺', '杉', '女', '计', '间', '弗', '忍', '价', '涛', '被', '智', '评', '潮', '远', '豹', '润', '方', '平', '磨', '训', '直', '察', '甘', '潜', '空', '沢', '世', '悦', '欢', '娘', '循', '第', '厉', '拘', '冷', '旗', '柄', '姓', '咖', '燃', '郭', '软', '费', '云', '供']",称,甘
