,Character,Radical,CharFreq,Radicals,TokenIDs,Length,First,Token_family,Radical_family,List_both,Both_len,List_radical,Radical_len,List_token,Token_len,List_neither,Pair_both,Pair_token,Pair_radical,Pair_neither
0,雍,隹,1.492769255626896,"('隹',)","[25132, 235]",2,25132,10,13,"['雕', '雏', '雌', '雇', '雀', '雁']",6,"['隼', '隽']",2,"['雾', '雹', '雳']",3,"['殴', '缕', '髻', '勉', '骛', '烽', '穷', '屡', '阑', '矍', '阙', '髌', '赅', '隋', '歼', '赴', '缨', '圾', '矾', '穗', '殷', '臼', '缛', '骷', '赊', '蠢', '勘', '赘', '缔', '勾', '缅', '赌', '邂', '骄', '趾', '勋', '髋', '缭', '骥', '殒', '骜', '骰', '臾', '屉', '勺', '殉', '骤', '髓', '邋', '邢', '犄', '缈', '髅', '犒', '犟', '邵', '朔', '缪', '缉', '缴', '炬', '殚', '骝', '胁', '赂', '缮', '屐', '圪', '煌', '殆', '赐', '臂', '臆', '蠖', '蠕', '赁', '赝', '骋', '缢', '趋', '赚', '邀', '赳', '骁', '玷', '趔', '缠', '朦', '屿', '瑜', '阂', '屄', '朲', '缰', '骐']",雁,雳,隽,髓
1,勘,力,0.6756957869461895,"('力',)","[53508, 246]",2,53508,7,25,"['勃', '勉', '勋']",3,"['劫', '劝', '劣', '劲', '劵', '劾']",6,"['勾', '勿', '勺']",3,"['趋', '雀', '阑', '蚌', '赊', '圾', '缰', '缆', '歼', '圪', '缄', '骄', '歇', '阉', '骋', '骐', '臼', '骝', '邵', '雍', '烽', '阈', '骚', '缪', '缚', '缕', '炬', '髅', '骜', '赳', '雌', '缎', '犊', '蝼', '缠', '缤', '骥', '殒', '缉', '矍', '阙', '蠕', '臃', '缱', '殷', '雳', '矾', '赌', '朔', '隙', '屹', '缜', '腌', '煌', '隘', '骰', '骆', '趾', '隅', '殇', '邂', '隧', '赴', '缸', '阁', '趁', '邸', '髓', '屠', '缨', '阄', '骼', '缈', '矽', '赂', '矗', '骡', '玷', '赡', '髑', '赃', '阎', '赎', '邢', '趟', '邋', '雹', '殃', '屄', '阀', '殄', '蟥', '赠', '蠢', '胁', '骁', '雏']",勃,勺,劝,阁
2,缆,纟,1.1460364409028416,"('糸', '纟')","[25906, 228]",2,25906,26,111,"['缱', '缠', '缉', '缜', '缕', '缅', '缔', '缴', '缄', '缤', '缝', '缥', '缰', '缭', '缀', '缪', '缎', '缢', '缈', '缮', '缚', '缨', '缛']",23,"['纺', '纠', '绉', '绅', '绳', '纤', '绰', '绕', '绵', '绮', '纬', '纷', '绣', '绚', '综', '绞', '绸', '绶', '绨', '纲', '纽', '纱', '绑', '纵', '绽', '纾', '绘', '绀', '纹', '绯', '绥', '绊', '纰', '绒', '绦', '绷', '绪', '绢', '绻', '纶', '纭', '纫', '绎', '绔', '纣', '绌']",46,"['缶', '缸']",2,"['赂', '殇', '赃', '阮', '髌', '骐', '殡', '穗', '殉', '骥', '邢', '勾', '臀', '屹', '雁', '阂', '邀', '赐', '殴', '骤', '骂', '炬', '屎', '朦', '赁', '赳', '矗', '阑', '歼', '隧', '蠖', '勺', '阀', '骼', '歇', '隅', '犒', '髓', '阱', '骜', '邂', '屄', '勘', '犸', '殓', '朲', '朕', '骸', '雏', '玷', '穹', '邵', '隼', '赡', '赔', '赘', '骷', '圄', '屡', '屠', '蠕', '赊', '阈', '臾', '屑', '隽', '蠢', '臆', '圃', '圪', '赋', '骁', '勉', '蹄', '殷', '犷', '臂', '赅', '阎', '趴', '矾', '阐', '隘', '阉', '殒', '雹', '圾', '熵', '屿']",缨,缶,绥,犷
3,邋,辶,1.6986751437044287,"('辶',)","[45932, 233]",2,45932,11,81,"['邂', '邀', '邃']",3,"['遵', '迂', '遮', '逾', '逼', '遨', '逻', '逮', '遐', '遏', '迟', '迸', '迄', '逗', '迦', '迁', '逞', '遁', '遒', '遴', '逍', '逢', '遂', '遥', '迭', '逛', '迥', '迈', '逝', '逊', '遛', '遢', '逅', '迢', '迩']",35,"['邓', '邻', '邸', '邢', '邵', '邱']",6,"['缥', '骤', '髋', '缝', '瑜', '趄', '圪', '臀', '隅', '缶', '赴', '穆', '缴', '骸', '骄', '屿', '缀', '赋', '缭', '隧', '雕', '殒', '骏', '赌', '臊', '殇', '炭', '屎', '缉', '缰', '殡', '骋', '阐', '缸', '缤', '勃', '骚', '骁', '犁', '胁', '蠕', '赡', '犀', '勾', '屌', '胝', '趁', '雁', '犟', '殴', '隽', '蠖', '歉', '缄', '蹄', '殆', '烁', '赃', '骝', '阂', '缅', '缔', '蚌', '赠', '缛', '屉', '蠢', '屐', '勉', '赘', '朴', '屠', '勋', '屡', '赁', '赔', '殃', '趋', '朽', '殄', '朕', '烽', '阁', '赐', '骼', '缈', '穷', '屄', '勘', '殉', '骡', '殷', '髅', '骛']",邃,邵,迂,骼
4,赐,贝,3.3736617314676343,"('貝', '贝')","[28425, 238]",2,28425,19,52,"['赚', '赋', '赌', '赎', '赔', '赃', '赠', '赡', '赊', '赘', '赝', '赁', '赂', '赅']",14,"['贱', '贤', '贪', '贬', '贯', '贩', '贷', '贺', '贡', '贼', '贲', '贰', '贞', '贮', '贾', '贻', '贿']",17,"['赴', '赳']",2,"['雕', '瑜', '缮', '臼', '趾', '骗', '蹄', '朴', '犁', '蠖', '殚', '臊', '犄', '缱', '玷', '雀', '烁', '蠕', '炭', '缪', '屿', '骜', '屐', '矍', '臂', '煌', '朽', '缀', '阐', '雇', '跻', '烽', '邂', '骸', '穹', '阉', '矗', '犟', '蚌', '屉', '圾', '缨', '缛', '骼', '骋', '穆', '胝', '髦', '邓', '臾', '炬', '殉', '邸', '缴', '邵', '殓', '缈', '圃', '勘', '殷', '缕', '歹', '缉', '屈', '骆', '圄', '犷', '勋', '邀', '蝼', '屠', '缜', '髓', '缢', '骂', '臃', '勾', '蠢', '阙', '骄', '趋', '熵', '殡', '勉', '缔', '矽', '阁', '缥', '殄', '胁', '殒', '雌', '缭']",赎,赴,贾,邂
5,骄,马,3.618961154550484,"('馬', '马')","[101805, 226]",2,101805,21,35,"['骚', '骆', '骗', '骂', '骁', '骥', '骐', '骡', '骏', '骤', '骝', '骋', '骜', '骛']",14,"['驳', '驽', '驻', '驮', '驯', '驴', '驹', '驼', '驰', '驸', '驷', '驭', '驿']",13,"['骸', '骰', '骶', '骷', '骼']",5,"['缆', '趾', '臊', '蠖', '缝', '勃', '屠', '缜', '赝', '朴', '瑜', '阐', '隙', '邂', '趟', '雍', '殆', '殚', '缎', '邵', '缮', '殇', '矾', '髑', '赋', '蠕', '缉', '赂', '臃', '隼', '邃', '殡', '屿', '犷', '臆', '屹', '赊', '屄', '缛', '蚌', '缔', '隧', '雁', '殄', '雌', '缄', '殉', '赡', '邱', '勺', '犁', '矗', '雳', '殷', '煌', '缱', '殃', '缠', '矍', '趴', '屁', '朲', '屈', '歼', '隽', '犸', '玷', '阂', '穹', '缚', '缴', '缨', '雹', '勾', '勿', '趄', '髅', '邢', '缶', '勋', '髻', '阙', '殴', '阈', '趁', '赌', '屎', '髦', '朦', '屡']",骆,骷,驭,殷
6,缱,纟,-0.1749488024645415,"('糸', '纟')","[25906, 109]",2,25906,26,111,"['缆', '缠', '缉', '缜', '缕', '缅', '缔', '缴', '缄', '缤', '缝', '缥', '缰', '缭', '缀', '缪', '缎', '缢', '缈', '缮', '缚', '缨', '缛']",23,"['纺', '纠', '绉', '绅', '绳', '纤', '绰', '绕', '绵', '绮', '纬', '纷', '绣', '绚', '综', '绞', '绸', '绶', '绨', '纲', '纽', '纱', '绑', '纵', '绽', '纾', '绘', '绀', '纹', '绯', '绥', '绊', '纰', '绒', '绦', '绷', '绪', '绢', '绻', '纶', '纭', '纫', '绎', '绔', '纣', '绌']",46,"['缶', '缸']",2,"['胝', '骰', '隙', '勘', '朴', '阈', '屈', '煌', '赡', '隘', '赋', '雍', '蠕', '邻', '雾', '殄', '邃', '蟥', '炬', '屑', '阑', '殴', '邵', '胁', '骛', '骚', '骸', '阮', '屐', '犸', '屿', '雏', '歃', '臂', '勿', '朲', '骷', '赝', '赴', '骄', '骆', '犁', '邀', '邱', '赎', '勾', '犀', '臾', '雀', '骋', '穆', '髻', '炭', '髋', '赘', '骝', '骶', '臼', '屁', '朽', '赔', '髅', '雕', '髑', '赂', '犟', '赐', '隽', '趴', '骥', '矍', '圾', '蠖', '趄', '殉', '赁', '歉', '蚌', '骜', '殆', '趁', '歹', '赳', '隅', '熵']",缮,缶,绔,骝
7,缠,纟,3.3894418891512923,"('糸', '纟')","[25906, 254]",2,25906,26,111,"['缆', '缱', '缉', '缜', '缕', '缅', '缔', '缴', '缄', '缤', '缝', '缥', '缰', '缭', '缀', '缪', '缎', '缢', '缈', '缮', '缚', '缨', '缛']",23,"['纺', '纠', '绉', '绅', '绳', '纤', '绰', '绕', '绵', '绮', '纬', '纷', '绣', '绚', '综', '绞', '绸', '绶', '绨', '纲', '纽', '纱', '绑', '纵', '绽', '纾', '绘', '绀', '纹', '绯', '绥', '绊', '纰', '绒', '绦', '绷', '绪', '绢', '绻', '纶', '纭', '纫', '绎', '绔', '纣', '绌']",46,"['缶', '缸']",2,"['邱', '胝', '髓', '勾', '赔', '阎', '骛', '殚', '歼', '屿', '朕', '蹄', '屁', '邵', '圾', '骥', '犁', '趔', '骗', '隧', '歉', '臾', '赝', '雍', '殆', '赌', '屉', '骷', '赁', '屎', '屈', '圪', '瑜', '髑', '矗', '朔', '臆', '烁', '髅', '雳', '阑', '骤', '雹', '赴', '雁', '胁', '雕', '犟', '雏', '邓', '骡', '邃', '趋', '骜', '雌', '骂', '邸', '殡', '殓', '犒', '阙', '隼', '蠕', '殴', '圃', '腌', '雾', '殄', '阁', '隅', '赡', '矍', '殃', '殒', '煌', '犸', '髦', '骄', '蠢', '蚌', '蝼', '臊', '炬', '髌', '圄']",缢,缶,绌,殚
8,缉,纟,2.5865603035145,"('糸', '纟')","[25906, 231]",2,25906,26,111,"['缆', '缱', '缠', '缜', '缕', '缅', '缔', '缴', '缄', '缤', '缝', '缥', '缰', '缭', '缀', '缪', '缎', '缢', '缈', '缮', '缚', '缨', '缛']",23,"['纺', '纠', '绉', '绅', '绳', '纤', '绰', '绕', '绵', '绮', '纬', '纷', '绣', '绚', '综', '绞', '绸', '绶', '绨', '纲', '纽', '纱', '绑', '纵', '绽', '纾', '绘', '绀', '纹', '绯', '绥', '绊', '纰', '绒', '绦', '绷', '绪', '绢', '绻', '纶', '纭', '纫', '绎', '绔', '纣', '绌']",46,"['缶', '缸']",2,"['骶', '骼', '趋', '阄', '趟', '瑜', '殓', '犒', '臀', '蠖', '勘', '殒', '雀', '臃', '殡', '歃', '赃', '蠢', '邱', '骛', '邢', '朦', '穆', '犊', '蠕', '臊', '蚌', '邋', '朴', '穷', '阉', '屁', '雾', '赝', '矍', '跻', '雹', '髌', '骂', '骗', '邂', '赘', '邀', '矾', '髓', '胝', '屎', '殴', '赡', '勿', '雌', '殉', '趄', '阁', '髋', '腌', '髅', '犄', '邵', '赅', '骚', '臂', '屑', '赚', '趁', '隅', '邻', '殇', '穗', '雁', '阱', '歇', '赂', '雏', '屈', '隧', '勾', '朲', '屠', '殆', '隘', '邓']",缤,缸,绵,趟
9,穷,穴,4.048968812300339,"('穴',)","[33354, 115]",2,33354,4,24,['穹'],1,"['窒', '窥', '窝', '窠', '窍', '窃', '窄', '窦', '窘', '窑', '窜', '窟', '窖', '窈', '窿', '窕']",16,"['穆', '穗']",2,"['炬', '骚', '犀', '犷', '殓', '赘', '邃', '臼', '赳', '圄', '雕', '蠕', '雏', '邓', '阔', '殡', '屐', '赊', '阙', '殇', '臃', '骛', '赂', '屌', '骗', '阁', '缱', '蚌', '缮', '臀', '缤', '缉', '殉', '阐', '隼', '圃', '阎', '朦', '殆', '殒', '玷', '赃', '隧', '隘', '犟', '殚', '雀', '邻', '歹', '雾', '跻', '趟', '炭', '勿', '殷', '雁', '缰', '勺', '缈', '屎', '阂', '隅', '骐', '髻', '臆', '屹', '骋', '烁', '屈', '缢', '屡', '赋', '骂', '缜', '朕', '圾', '趄', '赴', '骰', '歼', '蹄', '赁', '煌', '骆', '缕', '圪', '殃', '缭', '雳', '屄', '蝼', '犊', '缨', '趾', '缄', '缶', '髑', '矾', '犄', '缝']",穹,穗,窿,阐
