,Character,Radical,CharFreq,Radicals,TokenIDs,Length,First,Token_family,Radical_family,List_both,Both_len,List_radical,Radical_len,List_token,Token_len,List_neither,Pair_both,Pair_token,Pair_radical,Pair_neither
0,簪,⺮,-1.0767529543152161,"('⺮', '竹')","[163, 108, 103]",3,163,309,58,"['簇', '簿', '簸', '簧']",4,"['笔', '筛', '答', '笼', '笨', '箩', '笋', '竿', '筑', '箴', '策', '笺', '筹', '篇', '箭', '笃', '篷', '篓', '篡', '笤', '篮', '筋', '筒', '篝', '箫', '篱', '笞', '筷', '笠', '籍', '筐', '笆', '竺', '笛', '笙', '筵', '筏', '箍', '箔', '箕', '籁', '筝']",42,"['痛', '砧', '烹', '照', '繁', '热', '绿', '病', '痕', '磕', '熟', '烦', '炕', '瘤', '疲', '瘫', '疯', '矿', '烤', '疾', '烟', '糖', '糨', '煞', '瑟', '磁', '破', '煤', '炒', '炮', '疼', '糟', '炬', '糕', '熏', '石', '烽', '燕', '疡', '燃', '烬', '熄', '炼', '糜', '瞎', '烛', '瞳', '疥', '糗', '炖', '烘', '瘪', '烧', '磊', '烈', '烫', '瑕', '烩', '璐', '炊', '熔', '痨', '瘦', '璜', '砂', '烙', '砾', '痤', '炉', '炭', '磨', '砸', '煎', '烂', '疫', '疝', '磷', '熙', '煅', '痧', '瞩', '糠', '症', '痂', '疚', '痞', '砌', '瑜', '痴', '熨', '瞿', '瞅', '痰', '燮', '瞒', '瀑', '瞪', '瑶', '砚', '砒', '砖', '瘾', '痦', '瘢', '炷', '糊', '犁', '炫', '燎', '痉', '疗', '瞬', '炎', '痿', '瑭', '磺', '痩', '煲', '煸', '熊', '瞟', '疙', '痘', '疖', '磅', '炸', '瞥', '玷', '瞌', '疮', '痢', '痔', '糯', '瘘', '煊', '燥', '煌', '研', '糙', '瑰', '疟', '炯', '犀', '煽', '砍', '炳', '矽', '煮', '瘟', '熹', '瘴', '砷', '痹', '疤', '瞧', '烁', '痒', '熬', '璀', '瘸', '糅', '瞻', '疱', '瞄', '璞', '瑞', '炙', '砝', '犒', '炽', '犄', '瘠', '疵', '瞠', '痱', '痊', '矗', '煨', '瞑', '矍', '痣', '磐', '燻', '疹', '磋', '砰', '犟', '砣', '熵', '煦', '炆', '糍', '砹', '烷', '糁', '熠', '烊', '疽', '疸', '瘩', '璃', '痫', '烃', '矾', '瞰', '瀛', '瘌', '璨', '疳', '犊', '瑚', '痪', '瀚', '瑙', '砭', '砺', '烯', '瀣', '砥', '瘁', '痍']",221,"['莽', '媳', '套', '崛', '寥', '寓', '蝼', '咙', '扇', '傻', '植', '饲', '圃', '薛', '擅', '垄', '潘', '妇', '蠢', '搜', '妈', '缩', '悔', '赌', '攥', '蒜', '悍', '肪', '噎', '骐', '潦', '封', '阶', '悸', '艇', '嗓', '榷', '屄', '辋', '噱', '邋', '臼', '咻', '蚶', '踵', '嶙', '殆', '擢', '威', '募', '嚼', '奎', '妒', '咀', '搧', '胝', '悼', '榜', '蓿', '搔', '褶', '尊', '赊', '邦', '蚁', '婊', '蛐', '婀', '薪', '潇', '辍', '嵩', '慕', '嗽', '妨', '饿', '褡', '赶', '脑']",簧,犊,笙,殆
1,阻,阝,4.217835719952208,"('邑', '阜', '阝')","[33443, 119]",2,33443,22,68,"['阵', '防', '阴', '阿', '阶', '阪', '阮', '阱']",8,"['隐', '陌', '附', '险', '陷', '陈', '随', '降', '陨', '邓', '陵', '隔', '障', '陪', '陶', '鄙', '郎', '邪', '隋', '那', '邻', '郊', '邬', '隙', '陋', '陡', '郡', '郑', '际', '邹', '邦', '隆', '邸', '邢', '陀', '邵', '邱', '郁', '郝', '陛', '隧', '郭', '隅', '郴', '鄂', '陲', '隘', '陇']",48,"['阁', '阎', '阅', '阐', '阔', '阙', '阉', '阀', '阑', '阈', '阂', '阄']",12,"['脚', '缪', '雁', '蒜', '燮', '寨', '瘸', '嫉', '簪', '妓', '蹶', '歌', '莨', '殇', '腓', '嚼', '璀', '勘', '嗌', '瑰', '糟', '熠', '嗡', '雨', '臊', '瞪', '咦', '疯', '搧', '蘑', '白', '擅', '檫', '屠', '蟋', '瞩', '缕', '痍', '托', '傅', '榜', '蝻', '妩', '噩', '炫', '蟑', '嫁', '烛', '炸', '蹂', '圈', '屑', '娩', '蠕', '腕', '舀', '歼', '梁', '娇', '扉', '缀', '慨', '痉', '痒', '疲', '契', '悸', '疙', '槃', '圭', '憩', '奋', '札', '悲', '梧', '饯', '峦', '垢', '零', '藻', '咒', '炉', '熊', '瑶', '臼', '踹', '嘤', '蚕', '殉', '踊', '妾', '痕', '咨']",阶,阅,郁,零
2,艺,艹,4.980490126642893,"('艹',)","[34452, 118]",2,34452,8,191,['艾'],1,"['苯', '草', '药', '花', '蒜', '葱', '荣', '芋', '苦', '莴', '莽', '萦', '菜', '蔡', '莹', '薪', '萌', '藤', '薏', '荒', '蔚', '营', '苍', '茧', '荧', '落', '茁', '获', '茶', '荫', '茫', '茱', '苗', '范', '蔑', '藩', '苏', '蕴', '蓄', '芽', '薄', '荷', '蓬', '葬', '若', '莲', '莫', '蔷', '茅', '蒙', '藜', '菁', '芯', '蓓', '蒸', '菲', '蔗', '莎', '苟', '董', '荻', '蔓', '葫', '苹', '茉', '苛', '茴', '蓉', '荟', '藕', '莞', '蓝', '蔵', '著', '芳', '荡', '藐', '茎', '菇', '荐', '荞', '菠', '萎', '菱', '莅', '菩', '蕃', '茂', '芝', '薛', '芬', '苺', '蕾', '萃', '蓖', '萝', '茹', '芥', '蒋', '茸', '茄', '苜', '芸', '蔽', '莓', '葵', '藿', '萨', '蓑', '萧', '苑', '芹', '荔', '茨', '菟', '芒', '蘑', '荼', '菌', '蓦', '薯', '荨', '蒂', '荠', '荆', '萍', '蒲', '苔', '菅', '蘸', '荤', '萤', '芦', '葡', '蕉', '蔬', '芭', '莱', '菊', '薰', '葛', '苇', '藉', '莺', '芙', '蕊', '蓟', '茗', '芜', '茵', '藻', '薇', '菸', '莨', '芮', '芫', '茜', '茬', '菏', '蔫', '萘', '萁', '薮', '萸', '苡', '苞', '莉', '蔼', '蔻', '荚', '蓿', '苣', '葺', '苷', '茏', '萄', '葩', '蒡', '菪', '葚', '荽', '茔', '葆', '藓', '荜', '蕨']",186,"['艇', '艘']",2,"['蛋', '辋', '舷', '熏', '峋', '痩', '朝', '懦', '胝', '腚', '慰', '榎', '悖', '辆', '臼', '疲', '咣', '螂', '嶙', '扇', '勋', '骂', '婀', '攥', '褛', '雍', '瑙', '榷', '嬴', '阶', '饨', '擤', '疮', '蜿', '屋', '砷', '磺', '蹈', '殊', '悃', '瞥', '难', '舀', '饴', '脓', '札', '骐', '懂', '疽', '糙', '嫁', '蜈', '慌', '蚤', '檬', '熊', '嫂', '疟', '居', '璨', '邵', '妞', '寓', '峭', '肪', '瞟', '辄', '砚', '癞', '梢', '娌', '蝶', '橙', '蜻', '扈', '饲', '肚', '骗', '催', '蛰', '妍', '椽', '执', '饕', '阈', '糖', '蹭', '烷', '烘', '柳', '慈', '嗦', '威']",艾,艇,薄,嫁
3,垄,土,1.2601357228247811,"('土',)","[161, 252, 226]",3,161,218,84,"['垂', '垫', '垢', '垒', '垮', '垃', '垦', '垠', '垛', '垩', '垣']",11,"['墓', '坏', '域', '坚', '坡', '圣', '坟', '壁', '埋', '坠', '坛', '坐', '堆', '坪', '墨', '堡', '堕', '墙', '堪', '均', '塔', '塌', '坦', '坤', '埃', '堵', '壑', '坂', '境', '坨', '培', '墩', '坯', '塑', '堤', '堇', '堂', '坍', '坑', '塘', '塞', '圪', '坎', '块', '坝', '埸', '壕', '壤', '増', '坊', '坩', '埠', '圭', '埔', '堑', '坳', '墅', '坞', '坷', '墟', '圾', '埚']",62,"['嫌', '咆', '嚏', '娱', '娇', '婚', '咸', '娼', '威', '儒', '嘶', '嘉', '傻', '嫂', '峡', '崩', '妮', '妳', '嗤', '嚼', '咏', '妇', '咕', '妖', '嵌', '妓', '咽', '妻', '嗙', '嗄', '噘', '催', '妄', '嫦', '嗒', '噩', '咂', '妨', '嗲', '嘲', '咀', '嗽', '嚣', '娴', '嘱', '峙', '咪', '咋', '妹', '咨', '咱', '喉', '妾', '峻', '咖', '嗓', '妙', '嗅', '崎', '嵩', '妥', '嫡', '咒', '嫖', '婴', '噜', '嬉', '咣', '嗳', '储', '妒', '噬', '媚', '媳', '媒', '嘴', '嗜', '傧', '咎', '嘀', '崇', '婢', '媲', '咧', '娘', '傲', '嗨', '妞', '咔', '妩', '崽', '咿', '噱', '妃', '嘘', '咳', '崔', '嘛', '娟', '傍', '嘞', '妆', '咬', '嗣', '妯', '娑', '妊', '噗', '嬷', '婶', '咫', '嫁', '嫩', '嗖', '婉', '嗷', '娶', '嘎', '嘟', '嗟', '嘈', '峨', '娃', '嗡', '崭', '婊', '崛', '嘭', '嚓', '婆', '峰', '嚷', '嫉', '咯', '咚', '咩', '妍', '崴', '嗬', '妈', '嘹', '嗑', '峭', '咦', '嗝', '噎', '娥', '嚎', '嘣', '妲', '嶙', '傀', '噫', '嚄', '嗯', '噪', '噢', '嬴', '嘤', '婀', '嘿', '噼', '嗔', '嬗', '咻', '嘻', '娣', '崖', '傅', '噻', '嚯', '嫔', '噙', '嘁', '咲', '嘚', '噌', '嘬', '噔', '嗌', '嗐', '咄', '娓', '媾', '咐', '咙', '娆', '婿', '峦', '娌', '娠', '嶂', '妪', '咛', '娩', '媛', '嗦', '峋', '儡', '娜', '婪', '儆', '咤']",203,"['膜', '痣', '瑙', '螅', '病', '缤', '蠕', '殿', '歌', '槛', '辘', '痨', '蓦', '樊', '瞧', '踹', '缨', '绿', '趟', '踏', '橄', '煞', '蝮', '蚝', '褥', '艘', '蹒', '骂', '尻', '烽', '憋', '烯', '舶', '烊', '擂', '樘', '殆', '股', '履', '澈', '熄', '饱', '擀', '蹂', '蒋', '属', '矗', '脚', '悯', '疚', '脱', '穗', '肯', '糟', '郝', '炕', '繁', '熊', '蹑', '葱', '雕', '瑜', '炫', '臂', '痉', '鞭', '疙', '肩', '趴', '辈', '磊', '肽', '饯', '蘑', '悬', '莨', '糅', '蓑', '犀', '屹', '糖', '梅', '奢', '阑', '憾', '攥']",垃,嫌,圾,炫
4,缘,纟,4.762532844740851,"('糸', '纟')","[25906, 246]",2,25906,30,111,"['缆', '缱', '缠', '缉', '缜', '缕', '缅', '缔', '缩', '缓', '缴', '缄', '缤', '缝', '缥', '缰', '缭', '缀', '缪', '缎', '缢', '缈', '缮', '缚', '缨', '缛']",26,"['繁', '绿', '纺', '纠', '纯', '纸', '绉', '红', '绅', '终', '练', '绝', '续', '绳', '纤', '绰', '继', '纪', '绕', '绵', '细', '绮', '纬', '织', '纷', '绣', '绚', '综', '绍', '纳', '绞', '绸', '绶', '绨', '纲', '绩', '纽', '纱', '维', '绑', '纵', '绽', '纾', '绘', '绀', '纹', '绯', '绥', '绊', '纰', '绒', '绦', '绷', '绪', '绢', '绻', '纶', '纭', '纫', '绎', '绔', '纣', '绌']",63,"['缺', '缶', '缸']",3,"['嗄', '饺', '嗣', '梏', '奂', '痕', '腊', '殆', '娘', '痢', '妙', '慎', '蚀', '嵌', '脯', '憎', '蜍', '疙', '嚼', '藜', '蝾', '肾', '嚷', '攥', '嗝', '炖', '懊', '踪', '屈', '蹟', '末', '妖', '噩', '蜡', '瘠', '熬', '蔷', '橱', '薪', '蔡', '隋', '糜', '褡', '咕', '脚', '寻', '膀', '疱', '赎', '症', '瞩', '跻', '阉', '骆', '照', '悍', '蛮', '奴', '玷', '隙', '搅', '射', '饪', '扦', '烬', '槐', '潇', '痧', '寄', '烊', '阻', '娜', '嗐', '舅', '砷', '躇', '咫', '燥', '肓', '疥', '薯', '辕', '糊', '嘞', '咿', '蹿', '屁', '薇', '痛', '傲', '随', '饿', '槟', '腑', '崔', '炙', '悲', '踵']",缴,缸,绣,赎
5,痛,疒,6.101149100624885,"('疒',)","[163, 245, 249]",3,163,309,68,"['病', '痕', '瘤', '疲', '瘫', '疯', '疾', '疼', '疡', '疥', '瘪', '痨', '瘦', '痤', '疫', '疝', '痧', '症', '痂', '疚', '痞', '痴', '痰', '瘾', '痦', '瘢', '痉', '疗', '痿', '痩', '疙', '痘', '疖', '疮', '痢', '痔', '瘘', '疟', '瘟', '瘴', '痹', '疤', '痒', '瘸', '疱', '瘠', '疵', '痱', '痊', '痣', '疹', '疽', '疸', '瘩', '痫', '瘌', '疳', '痪', '瘁', '痍']",60,"['癌', '癫', '癖', '癞', '癔', '癜', '癣']",7,"['簪', '砧', '烹', '照', '繁', '热', '绿', '磕', '熟', '烦', '炕', '矿', '烤', '烟', '糖', '糨', '煞', '瑟', '磁', '破', '煤', '炒', '炮', '糟', '炬', '糕', '熏', '石', '烽', '燕', '燃', '烬', '熄', '炼', '糜', '瞎', '烛', '瞳', '糗', '炖', '烘', '烧', '磊', '烈', '烫', '瑕', '烩', '璐', '炊', '熔', '璜', '砂', '烙', '砾', '炉', '炭', '磨', '砸', '煎', '烂', '磷', '熙', '煅', '瞩', '糠', '砌', '瑜', '熨', '瞿', '瞅', '燮', '瞒', '瀑', '瞪', '瑶', '砚', '砒', '砖', '炷', '糊', '犁', '炫', '簇', '燎', '瞬', '炎', '瑭', '磺', '煲', '煸', '熊', '瞟', '磅', '炸', '瞥', '玷', '瞌', '糯', '煊', '燥', '煌', '研', '糙', '瑰', '簿', '炯', '犀', '煽', '砍', '炳', '矽', '煮', '熹', '砷', '瞧', '烁', '熬', '璀', '糅', '瞻', '瞄', '璞', '瑞', '炙', '砝', '犒', '炽', '犄', '瞠', '簸', '矗', '煨', '瞑', '矍', '磐', '燻', '磋', '砰', '犟', '砣', '簧', '熵', '煦', '炆', '糍', '砹', '烷', '糁', '熠', '烊', '璃', '烃', '矾', '瞰', '瀛', '璨', '犊', '瑚', '瀚', '瑙', '砭', '砺', '烯', '瀣', '砥']",165,"['噔', '层', '蚌', '妮', '咋', '咖', '骑', '术', '寐', '蜴', '槲', '樵', '榜', '尺', '蜷', '边', '蜃', '扳', '莲', '婶', '槟', '蝎', '勇', '娜', '操', '嗜', '扎', '朔', '擒', '腐', '噜', '蜚', '骜', '骥', '屎', '殓', '圈', '阈', '垂', '梗', '梅', '懊', '赢', '奏', '儆', '垦', '邵', '蹈', '穴', '执', '嚓', '董', '梦', '婆', '肖', '朝', '奄', '嗌', '蓉', '蒂', '椅', '扦', '白', '嗄', '婿', '嘈', '寥', '雏', '薮', '脖', '辅', '歃', '寺', '蔑', '辘', '峻', '肩', '蕊', '穆', '鞠', '藤', '属', '咀', '蚀']",痱,瞠,癜,蜃
6,蹿,足,0.2986961937148814,"('足',)","[164, 117, 123]",3,164,279,62,"['踹', '蹦', '蹊', '蹩', '踌', '踪', '踏', '蹉', '踟', '踝', '蹄', '踩', '蹟', '躁', '蹬', '蹈', '蹋', '踯', '跻', '踢', '蹒', '蹭', '踉', '蹙', '蹲', '踊', '踱', '蹂', '蹑', '躇', '蹰', '踞', '躅', '踵', '蹼', '躏', '蹶', '蹴']",38,"['足', '跟', '跛', '跷', '跑', '跌', '跳', '跨', '跃', '趾', '跪', '跋', '跩', '跤', '践', '距', '跺', '趴', '跆', '跎', '跚', '跄']",22,"['脑', '褶', '螺', '蛰', '蒜', '蟠', '葱', '脱', '莴', '蚀', '莽', '腱', '蔡', '膝', '莹', '薪', '藤', '腹', '薏', '蜈', '蠢', '蔚', '蜂', '蚕', '腾', '襁', '腓', '褒', '蝎', '获', '脆', '蜥', '蚍', '脾', '腋', '脚', '脸', '蟋', '蔑', '藩', '脊', '融', '蕴', '蓄', '胁', '蝮', '蜕', '薄', '褐', '蓬', '葬', '腔', '蛊', '脖', '莲', '腰', '莫', '蔷', '蒙', '腿', '藜', '蛀', '蟾', '腮', '蓓', '蜡', '蚊', '蚁', '蚂', '蒸', '蜜', '蔗', '莎', '董', '蔓', '蛙', '葫', '腐', '蜷', '蓉', '蛋', '藕', '莞', '蓝', '蔵', '著', '蛤', '蝰', '藐', '腥', '蟒', '脐', '褥', '蝉', '腻', '莅', '蛛', '蕃', '褪', '蛮', '膏', '薛', '蜘', '蕾', '蝶', '襟', '蛟', '褂', '脉', '蛆', '蓖', '蒋', '膀', '襄', '脂', '蟹', '蝗', '蝴', '脓', '蚜', '蝼', '蔽', '莓', '葵', '蜗', '蝾', '蠕', '藿', '蟑', '蓑', '蚱', '腭', '蛇', '蝇', '蚌', '脏', '蜚', '蘑', '蓦', '薯', '蒂', '膨', '膛', '蒲', '腕', '蘸', '蛾', '腊', '蝌', '葡', '蜻', '蛹', '蕉', '蜿', '褡', '蛔', '膜', '膳', '蔬', '腌', '膊', '蜉', '莱', '薰', '蚯', '葛', '蜀', '藉', '莺', '螳', '蕊', '腼', '蝙', '蓟', '蚤', '藻', '薇', '脯', '膈', '膘', '莨', '螃', '褴', '蝈', '蔫', '蚝', '蛐', '蝻', '腚', '蚶', '薮', '脍', '蛎', '腺', '蚣', '褓', '蜴', '胝', '蟀', '脔', '蠖', '蜮', '莉', '蜊', '蔼', '蔻', '蓿', '螈', '螂', '蜢', '螅', '葺', '腴', '蚪', '蜓', '蜒', '蜍', '蜇', '蛳', '蝣', '葩', '蚓', '蟆', '蟥', '腆', '蝠', '蛭', '蒡', '褛', '腑', '膺', '葚', '葆', '藓', '蕨', '蜃']",236,"['饪', '勃', '歌', '悃', '潢', '肠', '奴', '璃', '慷', '阈', '糯', '朽', '煎', '缔', '癞', '糖', '辅', '边', '肯', '儒', '烫', '榆', '妖', '磁', '煮', '咦', '鞘', '骗', '橱', '套', '悔', '憨', '歼', '臆', '燻', '砷', '舅', '痦', '槟', '嘬', '犟', '奉', '缘', '慵', '儡', '操', '嘹', '瑜', '瘁', '饷', '嚎', '瘫', '屐', '慌', '峭', '梢', '疳', '椰', '层', '嘲', '扁', '擢', '雳', '邢', '悠', '悲', '榭', '雾', '懑', '缺', '槽', '噙', '赅', '磅', '噱', '娜', '辖']",蹶,蛹,跛,嘹
7,隐,阝,4.376207234764564,"('邑', '阜', '阝')","[37795, 238]",2,37795,14,68,"['随', '隔', '障', '隋', '隙', '隆', '隧', '隅', '隘']",9,"['阻', '陌', '附', '险', '陷', '陈', '降', '陨', '邓', '陵', '阵', '防', '陪', '陶', '阴', '鄙', '郎', '邪', '那', '邻', '郊', '邬', '陋', '陡', '阿', '郡', '郑', '际', '阶', '邹', '邦', '邸', '邢', '陀', '邵', '邱', '郁', '郝', '阪', '陛', '郭', '阮', '郴', '鄂', '陲', '阱', '陇']",47,"['难', '隼', '隽']",3,"['炸', '寐', '梯', '瞩', '阁', '死', '疹', '蟋', '烟', '炖', '烧', '炊', '蚌', '褐', '脔', '悄', '脯', '槌', '嶙', '札', '懊', '蹭', '烫', '嘀', '屁', '踊', '饯', '炮', '癖', '咦', '煽', '妃', '蚀', '殒', '蓦', '石', '蛮', '懈', '膜', '橡', '届', '越', '嗣', '糯', '缤', '妥', '殚', '咙', '莱', '腴', '懦', '蒸', '末', '尸', '烛', '悃', '蒙', '腌', '膛', '寄', '嘴', '蒋', '糁', '辽', '疼', '襟', '藜', '嗙', '瞳', '蹂', '脑', '缚', '趴', '砷', '峨', '艘', '屠', '脖', '腔', '蛆', '她', '饴', '噫', '饥', '勋', '糟', '膀', '膘', '嫩', '莫', '咣', '缔', '垂', '嫁', '懂', '峙']",隔,难,郎,尸
8,梦,木,6.229440748758957,"('木',)","[162, 95, 99]",3,162,158,210,"['概', '橘', '橡', '椿', '横', '榴', '榛', '梳', '植', '械', '樵', '梯', '槌', '槟', '樘', '橄', '樱', '椒', '椎', '梵', '梨', '橙', '槐', '槛', '榄', '梓', '梅', '樟', '樽', '椅', '榨', '梗', '椰', '樊', '柳', '榜', '榻', '橱', '榔', '檫', '梭', '梁', '橇', '椭', '槽', '椽', '檀', '槃', '榕', '榆', '榎', '橹', '椁', '椴', '槲', '梧', '梏', '梢', '榈', '槁', '檬', '檐', '榷', '梆', '榭', '榉']",66,"['柜', '枯', '架', '染', '楷', '枪', '柩', '枕', '末', '杯', '杀', '柄', '松', '极', '柱', '柔', '楼', '枝', '朽', '杂', '柿', '桎', '校', '树', '朴', '栋', '根', '枫', '林', '桥', '李', '棍', '桑', '栈', '栗', '村', '栅', '杏', '桨', '桃', '柏', '杵', '棋', '棕', '柬', '棉', '楚', '杨', '森', '朱', '栽', '棺', '杜', '框', '棚', '栖', '档', '楔', '杆', '杠', '柑', '柯', '枢', '杰', '朵', '柺', '桐', '杉', '棒', '桌', '柴', '桩', '栏', '柚', '栓', '桂', '桔', '杖', '枣', '杭', '枷', '桡', '桦', '术', '棵', '楞', '棱', '桁', '材', '株', '杪', '棠', '枸', '棘', '枚', '枉', '柠', '札', '某', '桶', '桅', '楠', '柒', '栀', '桀', '桉', '楸', '桖', '栎', '朲', '杞', '栩', '杳', '棂', '桠', '桓', '楂', '枭', '楣', '栌', '杈', '楦', '枥']",123,"['懊', '搜', '澪', '慑', '激', '悔', '搏', '擒', '搅', '懒', '懵', '搀', '憎', '操', '憋', '悲', '憾', '潮', '搁', '搞', '擤', '慰', '悖', '潜', '添', '憨', '擅', '搬', '搭', '懂', '悠', '搂', '悯', '澄', '慈', '悬', '湄', '濒', '悄', '悉', '患', '濑', '潭', '擂', '澎', '潇', '悍', '憧', '慌', '搓', '慢', '悦', '搧', '搔', '懦', '擢', '慎', '悼', '悴', '澈', '澳', '搽', '搋', '澡', '慧', '擀', '慷', '潘', '悟', '懈', '携', '悃', '慨', '搪', '擦', '憔', '潦', '慕', '慵', '潍', '悸', '潞', '憩', '澜', '憬', '搐', '懑', '潢', '濡']",89,"['尽', '崩', '妈', '烟', '饴', '居', '寰', '簇', '嗔', '嗟', '糙', '疖', '咫', '扉', '缜', '赴', '婪', '趣', '垂', '瘤', '炙', '煸', '疯', '腿', '寂', '隋', '娜', '瞠', '疮', '崎', '矿', '鞘', '隽', '那', '阙', '阑', '脔', '赃', '勿', '胁', '殉', '膜', '蹙', '蹟', '肓', '犒', '缶', '攒', '扫', '嘈', '肽', '妖', '膺', '熊', '莓', '蜮', '砺', '砣', '肴', '嵩', '托', '蓦', '膈', '蛾', '褛', '饼', '缨', '瞩', '望', '砰', '糠', '婆', '嚼', '圄', '趔', '歃', '嫁', '峭', '糗', '痨', '娟', '航', '嫦', '疗']",椭,擤,楣,膺
9,概,木,4.317257420261996,"('木',)","[162, 25451]",2,162,158,210,"['梦', '橘', '橡', '椿', '横', '榴', '榛', '梳', '植', '械', '樵', '梯', '槌', '槟', '樘', '橄', '樱', '椒', '椎', '梵', '梨', '橙', '槐', '槛', '榄', '梓', '梅', '樟', '樽', '椅', '榨', '梗', '椰', '樊', '柳', '榜', '榻', '橱', '榔', '檫', '梭', '梁', '橇', '椭', '槽', '椽', '檀', '槃', '榕', '榆', '榎', '橹', '椁', '椴', '槲', '梧', '梏', '梢', '榈', '槁', '檬', '檐', '榷', '梆', '榭', '榉']",66,"['柜', '枯', '架', '染', '楷', '枪', '柩', '枕', '末', '杯', '杀', '柄', '松', '极', '柱', '柔', '楼', '枝', '朽', '杂', '柿', '桎', '校', '树', '朴', '栋', '根', '枫', '林', '桥', '李', '棍', '桑', '栈', '栗', '村', '栅', '杏', '桨', '桃', '柏', '杵', '棋', '棕', '柬', '棉', '楚', '杨', '森', '朱', '栽', '棺', '杜', '框', '棚', '栖', '档', '楔', '杆', '杠', '柑', '柯', '枢', '杰', '朵', '柺', '桐', '杉', '棒', '桌', '柴', '桩', '栏', '柚', '栓', '桂', '桔', '杖', '枣', '杭', '枷', '桡', '桦', '术', '棵', '楞', '棱', '桁', '材', '株', '杪', '棠', '枸', '棘', '枚', '枉', '柠', '札', '某', '桶', '桅', '楠', '柒', '栀', '桀', '桉', '楸', '桖', '栎', '朲', '杞', '栩', '杳', '棂', '桠', '桓', '楂', '枭', '楣', '栌', '杈', '楦', '枥']",123,"['懊', '搜', '澪', '慑', '激', '悔', '搏', '擒', '搅', '懒', '懵', '搀', '憎', '操', '憋', '悲', '憾', '潮', '搁', '搞', '擤', '慰', '悖', '潜', '添', '憨', '擅', '搬', '搭', '懂', '悠', '搂', '悯', '澄', '慈', '悬', '湄', '濒', '悄', '悉', '患', '濑', '潭', '擂', '澎', '潇', '悍', '憧', '慌', '搓', '慢', '悦', '搧', '搔', '懦', '擢', '慎', '悼', '悴', '澈', '澳', '搽', '搋', '澡', '慧', '擀', '慷', '潘', '悟', '懈', '携', '悃', '慨', '搪', '擦', '憔', '潦', '慕', '慵', '潍', '悸', '潞', '憩', '澜', '憬', '搐', '懑', '潢', '濡']",89,"['瘟', '融', '嗲', '寇', '蛋', '蚂', '烯', '莫', '腥', '缮', '瑟', '扮', '咋', '葚', '炕', '难', '契', '赴', '扳', '蕃', '疾', '赞', '咒', '寻', '脉', '肌', '朝', '奄', '疵', '垃', '薄', '嚯', '磁', '臾', '莎', '缩', '蘑', '烫', '糠', '趋', '踢', '扣', '缈', '邸', '峨', '磕', '鞘', '葛', '辽', '璀', '儡', '踌', '璃', '蟋', '莲', '隙', '蟒', '垦', '隅', '噩', '咛', '鞋', '趁', '咲', '瘦', '蝙', '鄙', '燎', '褶', '赅', '崭', '寡', '褓', '雾', '蹴', '炬', '葫', '隘', '嗨', '砚', '蔗', '隋', '蹶', '舢', '峙', '烹', '鞍', '咻']",榕,搽,枷,炕
