,Character,Radical,CharFreq,Radicals,TokenIDs,Length,First,Token_family,Radical_family,List_both,Both_len,List_radical,Radical_len,List_token,Token_len,List_neither,Pair_both,Pair_token,Pair_radical,Pair_neither
0,雍,隹,1.492769255626896,"('隹',)","[5546, 235]",2,5546,8,13,"['雏', '雌', '雇', '雁']",4,"['隼', '隽']",2,"['雾', '雹', '雳']",3,"['朽', '圪', '邂', '阈', '阉', '骛', '缢', '矾', '骄', '阙', '缛', '勺', '朵', '阔', '骋', '缠', '朴', '邓', '圄', '犊', '臾', '缸', '勃', '骼', '屡', '髑', '屠', '缪', '缮', '勾', '阱', '阐', '骷', '屐', '髅', '缱', '朲', '矍', '屈', '缅', '缆', '骐', '犷', '骡', '邵', '隙', '勉', '缚', '犁', '髦', '缥', '骏', '隋', '矽', '犒', '屌', '勘', '缝', '臼', '矗', '犀', '邹', '臊', '朔', '阄', '臆', '朕', '缤', '髻', '圃', '缨', '髋', '缜', '骸', '臃', '骁', '阎', '邱', '邢', '缄', '骆', '骥', '缰', '缭', '隘', '邸', '屄', '骜', '屹', '缀', '骂', '邋', '屿']",雌,雳,隽,骏
1,勘,力,0.6756957869461895,"('力',)","[9997, 246]",2,9997,6,25,"['勃', '勉', '勋']",3,"['劫', '劝', '劣', '劵', '劾']",5,"['勾', '勺']",2,"['骡', '阄', '骶', '缰', '邵', '邂', '缔', '圪', '邸', '阙', '屄', '骜', '缱', '邓', '邢', '骆', '缆', '骂', '犷', '朦', '髋', '雾', '屡', '阑', '邹', '雍', '朽', '隽', '臼', '骋', '朕', '屠', '缜', '隘', '犊', '缨', '骼', '雏', '缛', '隅', '圃', '臃', '邋', '臆', '隙', '骄', '朵', '屿', '隼', '矍', '朴', '屉', '朲', '屈', '臊', '雁', '屌', '缉', '缥', '髌', '犁', '犒', '骐', '矽', '阀', '髦', '雇', '骛', '缢', '骸', '缎', '圭', '阐', '缸', '阮', '邱', '骏', '屑', '缪', '圄', '缄', '骝', '骷', '阂', '臂', '矗', '髅', '雹', '阔', '阉', '屎', '缀', '骁', '矾', '缤', '骥']",勋,勾,劫,骂
2,缆,纟,1.1460364409028416,"('糸', '纟')","[11337, 228]",2,11337,25,111,"['缱', '缠', '缉', '缜', '缕', '缅', '缔', '缄', '缤', '缝', '缥', '缰', '缭', '缀', '缪', '缎', '缢', '缈', '缮', '缚', '缨', '缛']",22,"['纺', '绉', '绅', '绳', '纤', '绰', '绵', '绮', '绣', '绚', '绞', '绸', '绶', '绨', '纱', '绽', '纾', '绀', '绯', '绥', '绊', '纰', '绒', '绦', '绷', '绢', '绻', '纶', '纭', '纫', '绎', '绔', '纣', '绌']",34,"['缶', '缸']",2,"['隋', '屎', '臂', '圄', '犒', '阔', '屠', '雾', '勋', '勃', '骛', '髦', '臆', '隙', '骼', '阎', '矾', '骋', '犟', '骆', '臾', '阂', '犸', '阐', '朲', '髅', '圪', '邓', '骜', '骷', '邵', '邱', '犊', '邋', '骂', '骡', '犀', '屄', '隅', '阄', '髓', '屉', '雍', '髑', '邢', '勺', '邹', '阈', '朦', '屑', '屐', '阀', '臃', '阙', '雌', '阉', '屿', '矗', '髋', '圭', '邃', '隧', '阮', '隽', '屌', '骁', '骶', '雇', '骄', '屈', '骏', '邸', '朴', '屡', '臊', '矽', '骐', '犷', '骝', '犁']",缕,缸,纺,隧
3,邋,辶,1.6986751437044287,"('辶',)","[8867, 233]",2,8867,9,81,"['邂', '邃']",2,"['迂', '逾', '遨', '逮', '遐', '遏', '迸', '迄', '逗', '迦', '逞', '遁', '遒', '遴', '逍', '逢', '迭', '逛', '迥', '逝', '遛', '遢', '逅', '迢', '迩']",25,"['邓', '邹', '邸', '邢', '邵', '邱']",6,"['圄', '圪', '缈', '犒', '骡', '隼', '勃', '臾', '隅', '勋', '髻', '雳', '骁', '阔', '缠', '雇', '缕', '缆', '朔', '矗', '骷', '缅', '缛', '缱', '勉', '缰', '屈', '臆', '臊', '臂', '缪', '骄', '骶', '缚', '屄', '骥', '朕', '阀', '勘', '髑', '髌', '缄', '勾', '骂', '雹', '骸', '朦', '犸', '阱', '缨', '髓', '阑', '阎', '犄', '雾', '矽', '缸', '缭', '骆', '缶', '缀', '屎', '犟', '朲', '隙', '阄', '骛', '臼', '犁', '勺', '犊', '臃', '雌', '圃', '屌', '阐', '缮', '隋', '骼', '缉', '骏', '屑', '髋', '朵', '隧', '雏', '髅', '骋', '阉', '朽', '骜', '矾', '隽']",邂,邓,逅,朦
4,骄,马,3.618961154550484,"('馬', '马')","[10151, 226]",2,10151,17,35,"['骆', '骂', '骁', '骥', '骐', '骡', '骏', '骝', '骋', '骜', '骛']",11,"['驳', '驽', '驮', '驯', '驴', '驹', '驼', '驸', '驷', '驭', '驿']",11,"['骸', '骶', '骷', '骼']",4,"['邹', '屈', '阱', '缮', '邋', '勘', '阉', '缎', '臆', '缭', '髻', '缱', '勃', '髦', '缈', '屡', '缸', '雇', '缶', '屹', '矍', '臾', '屑', '臼', '缚', '屌', '缤', '缔', '臂', '髑', '矗', '圄', '缝', '勺', '髌', '雏', '邱', '阄', '隘', '邓', '勉', '朽', '缅', '缕', '邢', '朦', '缆', '邸', '缥', '缀', '屿', '阈', '犷', '阮', '缠', '隽', '雌', '犸', '朵', '朴', '臊', '缨', '隅', '邵', '勋', '髋', '屠', '隋', '勾', '雁', '臃', '雍', '缜', '缪', '圭', '圃', '缢', '缄', '矽', '雹', '阎', '朲', '缰', '犒', '缉', '阐', '圪']",骝,骶,驸,缮
5,缱,纟,-0.1749488024645415,"('糸', '纟')","[11337, 109]",2,11337,25,111,"['缆', '缠', '缉', '缜', '缕', '缅', '缔', '缄', '缤', '缝', '缥', '缰', '缭', '缀', '缪', '缎', '缢', '缈', '缮', '缚', '缨', '缛']",22,"['纺', '绉', '绅', '绳', '纤', '绰', '绵', '绮', '绣', '绚', '绞', '绸', '绶', '绨', '纱', '绽', '纾', '绀', '绯', '绥', '绊', '纰', '绒', '绦', '绷', '绢', '绻', '纶', '纭', '纫', '绎', '绔', '纣', '绌']",34,"['缶', '缸']",2,"['雹', '阱', '屿', '隋', '阂', '雁', '臾', '朲', '屡', '阔', '矍', '屈', '屠', '阮', '勘', '骐', '臆', '犊', '臃', '隼', '阄', '髻', '勾', '屹', '勃', '骥', '骼', '勺', '雍', '犄', '骏', '隙', '邹', '屎', '臊', '髦', '隧', '屌', '隅', '骄', '圭', '矾', '阐', '骷', '屉', '勋', '隽', '骛', '阙', '雇', '犸', '邸', '朽', '阎', '髓', '雏', '雌', '邂', '屑', '髌', '屄', '雳', '圪', '骁', '雾', '髋', '骆', '骜', '勉', '屐', '矗', '邃', '阀', '犀', '朕', '圄', '隘', '犁', '邓', '犷', '阑', '朔', '邋', '骝', '朦']",缔,缸,绮,阮
6,缠,纟,3.3894418891512923,"('糸', '纟')","[11337, 254]",2,11337,25,111,"['缆', '缱', '缉', '缜', '缕', '缅', '缔', '缄', '缤', '缝', '缥', '缰', '缭', '缀', '缪', '缎', '缢', '缈', '缮', '缚', '缨', '缛']",22,"['纺', '绉', '绅', '绳', '纤', '绰', '绵', '绮', '绣', '绚', '绞', '绸', '绶', '绨', '纱', '绽', '纾', '绀', '绯', '绥', '绊', '纰', '绒', '绦', '绷', '绢', '绻', '纶', '纭', '纫', '绎', '绔', '纣', '绌']",34,"['缶', '缸']",2,"['隙', '勋', '圃', '屠', '隽', '骛', '骝', '犸', '矍', '圪', '朵', '骥', '犷', '髦', '阑', '骼', '犟', '矗', '犁', '邸', '雁', '雍', '阄', '屹', '髻', '雌', '阈', '隘', '髌', '朦', '阮', '雇', '骋', '屿', '邹', '隋', '骜', '雹', '朕', '骷', '邂', '邃', '雾', '屌', '骸', '圭', '勾', '邋', '犊', '犒', '矾', '骆', '犄', '矽', '阔', '屈', '邱', '髑', '朲', '屑', '朽', '勃', '邢', '骄', '臃', '阉', '雏', '髓', '雳', '骁', '隧', '臂', '骐', '骶', '阎', '圄', '朔', '勺', '屎', '隼', '屐', '臼', '屡', '隅']",缉,缸,纤,勺
7,缉,纟,2.5865603035145,"('糸', '纟')","[11337, 231]",2,11337,25,111,"['缆', '缱', '缠', '缜', '缕', '缅', '缔', '缄', '缤', '缝', '缥', '缰', '缭', '缀', '缪', '缎', '缢', '缈', '缮', '缚', '缨', '缛']",22,"['纺', '绉', '绅', '绳', '纤', '绰', '绵', '绮', '绣', '绚', '绞', '绸', '绶', '绨', '纱', '绽', '纾', '绀', '绯', '绥', '绊', '纰', '绒', '绦', '绷', '绢', '绻', '纶', '纭', '纫', '绎', '绔', '纣', '绌']",34,"['缶', '缸']",2,"['隽', '邹', '阮', '骄', '骋', '骏', '矽', '雌', '雹', '阉', '犷', '骷', '髦', '勉', '屉', '髌', '朵', '矗', '雇', '髓', '臃', '朔', '圃', '髋', '朽', '屠', '屑', '阂', '雳', '隘', '邓', '朕', '屌', '阀', '臼', '骜', '隙', '骥', '犊', '邃', '圪', '臾', '髑', '雍', '圭', '屈', '骼', '邢', '勃', '骛', '邵', '邋', '臊', '骐', '骶', '隧', '阄', '雾', '阙', '邱', '臆', '骸', '骡', '屎', '阑', '犒', '勺', '屿', '隋', '髅', '矾', '犁', '髻', '屹', '骝', '骆', '勾', '骂', '隼', '勋', '屐', '矍', '犀']",缎,缸,绢,雹
8,勾,勹,3.3222804289775105,"('勹',)","[9997, 122]",2,9997,6,9,['勺'],1,"['匀', '匈', '匆', '匍', '匐']",5,"['勘', '勃', '勉', '勋']",4,"['隧', '隘', '圪', '阔', '阮', '邵', '邂', '雁', '朽', '骷', '雹', '缢', '缠', '隅', '缥', '缚', '髑', '屈', '臊', '缱', '邓', '缈', '阱', '缎', '骸', '髋', '屿', '臃', '屌', '髅', '阈', '臼', '缛', '雇', '犀', '矍', '雍', '缔', '骁', '隼', '圭', '阑', '邸', '臂', '朔', '缸', '缝', '阐', '邃', '骛', '邹', '屠', '臆', '骝', '骶', '屹', '骄', '朦', '缤', '犒', '缨', '骼', '髻', '缮', '阂', '阄', '隽', '邱', '屄', '髌', '阉', '骐', '缭', '圃', '朵', '骜', '缆', '骡', '矗', '圄', '骏', '雌', '髦', '屑', '朕', '朲', '雳', '骋', '缶', '雾', '犊', '矽', '屐', '缪']",勺,勃,匆,邓
9,雏,隹,1.0862022685914283,"('隹',)","[5546, 237]",2,5546,8,13,"['雍', '雌', '雇', '雁']",4,"['隼', '隽']",2,"['雾', '雹', '雳']",3,"['骂', '髻', '缥', '勘', '缪', '犀', '臼', '邹', '臃', '朕', '邱', '勾', '犷', '骆', '缄', '朵', '缸', '骼', '屎', '缨', '屹', '缝', '朦', '臾', '阙', '朽', '阎', '骜', '屠', '隅', '缕', '臊', '邂', '圄', '缜', '犊', '朔', '骏', '缎', '屐', '屡', '矍', '缱', '髓', '缠', '骛', '缶', '勋', '屿', '朲', '犸', '骷', '缈', '骋', '阀', '髦', '缢', '邋', '邸', '髅', '犄', '臆', '缆', '阉', '髑', '缚', '屈', '朴', '犒', '邢', '阱', '阮', '屉', '缛', '缰', '圃', '隘', '犁', '骶', '屌', '勉', '骸', '圪', '骁', '髌', '缔', '缮', '矾', '阐', '缭', '隙', '阑']",雇,雾,隽,缠
