,Character,Radical,CharFreq,Radicals,TokenIDs,Length,Bytes,Radical_family,List_radical,Radical_len,List_neither,Pair_radical,Pair_neither
0,簪,⺮,-1.0767529543152161,"('⺮', '竹')","[163, 108, 103]",3,e7b0aa,5,"['簇', '簿', '簸', '簧']",4,"['疼', '饲', '饥', '矍', '鼾', '翱', '短', '蔬', '醐', '婆', '咚', '醋', '慈', '槟', '砷', '嚷', '噱', '蚁', '垄', '酯', '嗙', '嗑', '榴', '砧', '煽', '噔', '烘', '饱', '饭', '樘', '薄', '犬', '脂', '砰', '瓯', '搧', '躇', '傻', '蜗', '妍', '骼', '蔻', '矣', '腑', '蛇', '褶', '嚄', '踵', '噻', '蹴', '峦', '砭', '螃', '疵', '猬', '悔', '猿', '鼻', '髓', '蹟', '狠', '鸵', '妲', '憋', '骝', '饕', '瓷', '婚', '槛', '搁', '酝', '痕', '狐', '嗨', '椽', '葆', '瘌', '猜', '婶', '踞', '脐', '痍', '猡', '咒', '悯', '嘚', '峭', '蹑', '搅', '病', '腔', '椴', '瞒', '酿', '蝶', '褴', '憨', '熏', '鳅']",簇,峭
1,鬼,鬼,5.310782354780608,"('鬼',)","[165, 105, 120]",3,e9acbc,8,"['魔', '魂', '魏', '魅', '魁', '魄', '魇']",7,"['垦', '鄙', '鼻', '鲶', '热', '榭', '嗑', '憋', '鲣', '鹿', '婊', '痘', '麓', '糨', '鸵', '藻', '慷', '娼', '蚁', '莨', '韵', '橄', '蛹', '燎', '蹦', '狼', '麟', '饕', '瀣', '蹋', '蒙', '瓦', '嚎', '葡', '砂', '梆', '蒂', '儡', '踏', '嵩', '莱', '鲈', '狂', '娴', '砹', '蟠', '糅', '髑', '煦', '莓', '鸢', '烤', '椎', '骼', '垮', '峋', '嗦', '脖', '妍', '躅', '蔑', '嘹', '悍', '膨', '烛', '蝶', '蚪', '榨', '媒', '崭', '蹬', '嚄', '薪', '鹃', '烬', '妒', '腴', '媚', '熟', '嗳', '炸', '妞', '糜', '鸳', '炼', '疤', '儆', '骗', '鲛', '嚣', '螈', '蕃', '峦', '咚', '嶙', '炫', '瘌', '薄', '瓢']",魏,韵
2,韧,韦,2.0320354192825656,"('韋', '韦')","[165, 253, 100]",3,e99fa7,4,"['韦', '韩', '韬']",3,"['潢', '妍', '瘦', '疼', '犒', '醍', '娄', '踱', '煽', '炙', '矬', '榎', '翎', '咣', '熨', '瞠', '狂', '獭', '橇', '躅', '搧', '疚', '蛔', '葡', '魔', '研', '璨', '崭', '狙', '鳖', '妮', '娥', '蚜', '翱', '饷', '崛', '瑭', '鬃', '磅', '蔫', '膛', '狞', '椁', '瘌', '鹊', '砷', '炮', '瞿', '嘲', '咸', '磋', '鸯', '蓬', '咙', '梆', '破', '憩', '砥', '咨', '榔', '蜻', '咧', '悔', '酚', '咛', '瘘', '骄', '嗡', '莱', '鸟', '熏', '翁', '醛', '痧', '鹧', '鳌', '鹤', '薪', '痕', '螅', '瓤', '榄', '炒', '椰', '鸪', '狒', '烯', '嗳', '娶', '瀛', '梏', '炫', '骑', '膺', '妄', '梳', '鄂', '娑', '骥', '砭']",韦,咙
3,垄,土,1.2601357228247811,"('土',)","[161, 252, 226]",3,e59e84,12,"['垂', '垫', '垢', '垒', '垮', '垃', '垦', '垠', '垛', '垩', '垣']",11,"['燕', '蹙', '鹳', '噔', '烈', '蚕', '鳕', '鳟', '儡', '瑞', '妙', '烃', '腔', '濑', '蔵', '骰', '莽', '咿', '犹', '憋', '螳', '骨', '咆', '痣', '崭', '狩', '躲', '鲑', '瓦', '槐', '莓', '蕴', '骑', '砖', '麦', '携', '腮', '蚣', '悍', '藻', '潇', '鳅', '蝈', '薰', '痰', '翰', '憾', '螅', '破', '嬷', '搂', '鳍', '烧', '薄', '痨', '熠', '悟', '熟', '蛐', '砭', '瘘', '骡', '潭', '嘣', '崩', '噩', '槁', '醒', '鼻', '鹞', '簸', '嫖', '燻', '鸨', '莲', '懊', '磷', '潮', '瘟', '嘉', '悖', '蒙', '炷', '薮', '砰', '鳗', '煨', '猜', '鬣', '蟾', '醉', '蹑', '嗄', '莹', '腊', '鲱', '砒', '慢']",垩,鬣
4,鬓,髟,0.34875365319072266,"('髟',)","[165, 105, 241]",3,e9ac93,5,"['鬣', '鬃', '髦', '髻']",4,"['燎', '潍', '瞧', '腰', '垂', '嫌', '脂', '煮', '麋', '蒲', '腥', '糕', '妳', '妇', '妨', '嘘', '婶', '麝', '璜', '鬼', '瘁', '躁', '踱', '猢', '犄', '梯', '鲲', '莴', '煊', '垃', '嗟', '矮', '崴', '媛', '痛', '骶', '狮', '峭', '悄', '澳', '嘚', '蔑', '垩', '噬', '嗯', '疡', '嬉', '傧', '蛾', '蹂', '蜊', '膀', '蚊', '饕', '儒', '翟', '糖', '饯', '咣', '慨', '躯', '餐', '蹩', '懦', '熔', '憋', '躺', '猕', '咳', '煸', '蚤', '饭', '猴', '鹉', '踏', '梆', '炊', '饴', '嬷', '藿', '鲱', '懊', '鱼', '鲸', '犟', '娥', '炙', '痴', '蓬', '簪', '薇', '蓝', '炎', '梦', '脯', '砾', '炼', '嫡', '榭', '蜘']",鬃,藿
5,痛,疒,6.101149100624885,"('疒',)","[163, 245, 249]",3,e7979b,61,"['病', '痕', '瘤', '疲', '瘫', '疯', '疾', '疼', '疡', '疥', '瘪', '痨', '瘦', '痤', '疫', '疝', '痧', '症', '痂', '疚', '痞', '痴', '痰', '瘾', '痦', '瘢', '痉', '疗', '痿', '痩', '疙', '痘', '疖', '疮', '痢', '痔', '瘘', '疟', '瘟', '瘴', '痹', '疤', '痒', '瘸', '疱', '瘠', '疵', '痱', '痊', '痣', '疹', '疽', '疸', '瘩', '痫', '瘌', '疳', '痪', '瘁', '痍']",60,"['嬗', '翰', '猖', '妇', '娼', '鲭', '鼾', '蔚', '鹜', '噜', '蟑', '慎', '咯', '蔷', '藿', '醛', '骐', '槃', '砖', '葺', '翅', '嘻', '咕', '妙', '狠', '崩', '娘', '熏', '榎', '骁', '麋', '榕', '梆', '踢', '悲', '魏', '垂', '蔫', '破', '糖', '犹', '瑟', '鸦', '檐', '悖', '横', '噼', '麓', '簸', '嚷', '瞿', '煨', '崖', '蟋', '饥', '饱', '椒', '娴', '猬', '踱', '躁', '膀', '蚤', '悄', '鞘', '葚', '榛', '鬓', '橄', '腆', '蹩', '糍', '鲑', '蜮', '研', '饷', '饺', '襄', '蹴', '梭', '噬', '瞩', '蔡', '慰', '蛹', '鸣', '蔑', '燃', '矜', '膊', '媛']",痴,嘻
6,矮,矢,3.064661142992855,"('矢',)","[163, 253, 106]",3,e79fae,7,"['短', '矫', '矣', '矬', '矩', '矢']",6,"['嫦', '娌', '榷', '矜', '檐', '葺', '檫', '蛇', '鹧', '搔', '蒂', '蜊', '梨', '燎', '瘪', '翼', '蹼', '橄', '嘹', '擒', '莲', '腿', '蒸', '嗯', '砌', '妃', '槁', '鹅', '峦', '躅', '懊', '憩', '鸦', '垒', '崴', '腴', '噙', '悍', '鞍', '槃', '麓', '傀', '炳', '崩', '傅', '搁', '煮', '鲥', '酚', '蛰', '酥', '嫂', '悟', '踢', '嗡', '妩', '鸶', '疤', '麾', '嘉', '翌', '砂', '榎', '蛋', '蟀', '崖', '慷', '璜', '椰', '瑞', '痍', '犀', '翔', '熬', '鹞', '擅', '懂', '儡', '病', '垛', '踱', '蜀', '瀛', '韵', '噜', '翡', '瘸', '腥', '搋', '獭', '娠', '踪', '嶙', '憋', '腊', '蜍', '鼬', '蜷', '蕃', '垂']",矩,擅
7,蹿,足,0.2986961937148814,"('足',)","[164, 117, 123]",3,e8b9bf,37,"['踹', '蹦', '蹊', '蹩', '踌', '踪', '踏', '蹉', '踟', '踝', '踩', '蹟', '躁', '蹬', '蹈', '蹋', '踯', '踢', '蹒', '蹭', '踉', '蹙', '蹲', '踊', '踱', '蹂', '蹑', '躇', '蹰', '踞', '躅', '踵', '蹼', '躏', '蹶', '蹴']",36,"['炊', '葡', '疚', '酋', '魂', '腓', '韩', '噔', '麂', '鲇', '擒', '獭', '妮', '瞳', '嗖', '瑚', '蛔', '婆', '猢', '糅', '襁', '熹', '鲍', '嘶', '嘚', '狄', '橱', '糨', '藕', '嬷', '蝇', '蟾', '娃', '翳', '犒', '藐', '鲛', '蚀', '澜', '煎', '梓', '嚓', '鹰', '鳍', '疏', '悼', '崎', '妒', '酚', '蔼', '瘟', '嘬', '鳏', '垢', '酯', '鹈', '蚍', '鲭', '蚣', '悖', '崭', '瞠', '砺', '烙', '脐', '狼', '骂', '鹧', '蜒', '蚝', '傍', '燎', '嫁', '蝠', '瞬', '脯', '鼻', '嗝', '饷', '槟', '痧', '酩', '猪', '咋', '葵', '嗔', '澄', '梵', '潞', '炸', '蟒', '蜷', '擢', '悉', '薏', '猥', '嬉', '骨']",踯,糨
8,梦,木,6.229440748758957,"('木',)","[162, 95, 99]",3,e6a2a6,65,"['橘', '橡', '椿', '横', '榴', '榛', '梳', '植', '械', '樵', '梯', '槌', '槟', '樘', '橄', '樱', '椒', '椎', '梵', '梨', '橙', '槐', '槛', '榄', '梓', '梅', '樟', '樽', '椅', '榨', '梗', '椰', '樊', '榜', '榻', '橱', '榔', '檫', '梭', '梁', '橇', '椭', '槽', '椽', '檀', '槃', '榕', '榆', '榎', '橹', '椁', '椴', '槲', '梧', '梏', '梢', '榈', '槁', '檬', '檐', '榷', '梆', '榭', '榉']",64,"['熨', '熹', '饯', '腱', '狗', '莹', '擀', '著', '炼', '嫡', '脍', '嚯', '鞑', '疥', '狈', '疗', '烘', '藻', '鸦', '瞬', '嘟', '莎', '嗌', '搭', '嘹', '蜀', '瘫', '骋', '犀', '鲶', '悸', '疫', '咣', '腥', '瑰', '犟', '娩', '蒙', '瞪', '嗅', '鹋', '狭', '蟒', '瞰', '烩', '簿', '鸣', '婚', '瞑', '簇', '矜', '狸', '炸', '醇', '脓', '磅', '垫', '蟾', '嗜', '酋', '疑', '擤', '婀', '踵', '娌', '妖', '鲍', '腺', '悴', '蝎', '酯', '蟑', '狡', '煦', '威', '咨', '翩', '鸠', '鸽', '蓄', '踞', '莉', '鳄', '蕉', '咀', '妞', '炙', '咳', '搔', '腑', '妄', '腕']",梵,狡
9,鸿,鸟,3.104200953859686,"('鳥', '鸟')","[165, 116, 123]",3,e9b8bf,41,"['鸽', '鸡', '鸾', '鸦', '鹭', '鸣', '鹅', '鹞', '鸟', '鹰', '鸭', '鹊', '鹈', '鹌', '鹏', '鸳', '鸬', '鸠', '鸵', '鸥', '鹦', '鹳', '鹧', '鹤', '鸸', '鸢', '鸫', '鸨', '鸶', '鹂', '鹑', '鹫', '鸯', '鹚', '鹃', '鹕', '鹉', '鸪', '鹋', '鹜']",40,"['褡', '嗌', '鲇', '饕', '瓶', '痞', '蝉', '猛', '婆', '矣', '炆', '橄', '酗', '崖', '瘠', '嗑', '骂', '嘛', '蚯', '鲛', '鳕', '澪', '簇', '蠖', '蝰', '搓', '澄', '膛', '嘚', '嗡', '蹿', '蚣', '嫉', '潞', '蜂', '瞬', '瘫', '膏', '酱', '蕾', '瞿', '獗', '慈', '痿', '砺', '璜', '症', '垒', '噪', '咐', '鬣', '蹭', '莨', '垮', '槟', '鱿', '蟒', '榆', '疟', '妄', '蜜', '脯', '咬', '嗐', '擒', '懒', '慢', '咖', '蛎', '磋', '嗨', '骆', '瑙', '潢', '膝', '饺', '嗽', '瞒', '潇', '咸', '鲜', '酵', '鳅', '儆', '咛', '蹰', '瀣', '瓦', '嬉', '崛', '蹙', '瑶', '蚓', '擂', '咣', '搏']",鸢,嗌
