,language,tokenizer,word,suffix,word_final_token,group,both_pair,suffix_pair,neither_pair,dectile
0,Catalan,gpt4,equipat,at,266,"['guardat', 'revisat', 'revelat', 'motivat']",equipat,confiat,explora,6
1,Catalan,gpt4,quedant,ant,519,"['ajudant', 'cremant', 'portant', 'acabant']",quedant,llevant,ordenat,8
2,Catalan,gpt4,quedat,at,266,"['entrat', 'deixat', 'ocupat', 'elevat']",quedat,trobat,portem,9
3,Catalan,gpt4,quedarien,en,268,"['menteixen', 'recomanen', 'tornarien', 'convoquen']",quedarien,agradaven,soluciona,5
4,Catalan,gpt4,escanyat,at,266,"['endollat', 'sepultat', 'divulgat', 'endinsat']",escanyat,insinuat,conreant,1
5,Catalan,gpt4,guardant,ant,519,"['estimant', 'retirant', 'adaptant', 'revelant']",guardant,confiant,denomina,4
6,Catalan,gpt4,guardat,at,266,"['ajustat', 'motivat', 'equipat', 'revelat']",guardat,confiat,detecta,6
7,Catalan,gpt4,guarden,en,268,"['exposen', 'limiten', 'escapen', 'dominen']",guarden,deriven,valorem,6
8,Catalan,gpt4,guardi,i,72,"['aparti', 'adapti', 'alteri', 'lideri']",guardi,trigui,xerrat,1
9,Catalan,gpt4,afaitat,at,266,"['esmenat', 'avortat', 'trempat', 'esmolat']",afaitat,plasmat,pleguen,0
10,Catalan,gpt4,gastant,ant,519,"['situant', 'salvant', 'violant', 'contant']",gastant,somiant,educada,5
11,Catalan,gpt4,gastat,at,266,"['cantat', 'ubicat', 'menjat', 'fundat']",gastat,regnat,tardà,7
12,Catalan,gpt4,gasten,en,268,"['operen', 'causen', 'costen', 'ballen']",gasten,cobren,tornà,6
13,Catalan,gpt4,gastava,ava,2979,"['ballava', 'violava', 'operava', 'causava']",gastava,penjava,amagues,2
14,Catalan,gpt4,bloquejat,at,266,"['guardonat', 'comprovat', 'mencionat', 'recomanat']",bloquejat,acostumat,presideix,7
15,Catalan,gpt4,faciliten,en,268,"['comporten', 'abandonen', 'connecten', 'expressen']",faciliten,condemnen,pronuncia,6
16,Catalan,gpt4,ratificat,at,266,"['embolicat', 'delimitat', 'verificat', 'descartat']",ratificat,emprenyat,canviaran,5
17,Catalan,gpt4,errant,ant,519,"['pegant', 'sopant', 'manant', 'pixant']",errant,guiant,delata,3
18,Catalan,gpt4,errat,at,266,"['manat', 'visat', 'segat', 'dinat']",errat,rodat,manen,5
19,Catalan,gpt4,exagerat,at,266,"['espantat', 'redactat', 'detallat', 'pentinat']",exagerat,censurat,acampada,6
20,Catalan,gpt4,cursa,a,64,"['torna', 'colla', 'corda', 'dansa']",cursa,tanca,museu,9
21,Catalan,gpt4,cursi,i,72,"['balli', 'talli', 'cremi', 'signi']",cursi,negui,infla,2
22,Catalan,gpt4,admirat,at,266,"['ignorat', 'filtrat', 'nominat', 'alertat']",admirat,mesurat,educats,5
23,Catalan,gpt4,passat,at,266,"['situat', 'costat', 'ajudat', 'deixat']",passat,parlat,penses,9
24,Catalan,gpt4,passa,a,64,"['torna', 'tomba', 'colla', 'corda']",passa,crema,acabi,9
25,Catalan,gpt4,passen,en,268,"['deixen', 'formen', 'pensen', 'porten']",passen,creuen,tracta,9
26,Catalan,gpt4,culminat,at,266,"['declinat', 'encarnat', 'estampat', 'emplenat']",culminat,reciclat,enganyes,2
27,Catalan,gpt4,callat,at,266,"['ballat', 'contat', 'pactat', 'saltat']",callat,torrat,formà,5
28,Catalan,gpt4,callada,ada,2649,"['educada', 'violada', 'animada', 'fallada']",callada,creuada,pertoca,5
29,Catalan,gpt4,calla,a,64,"['multa', 'talla', 'falla', 'anima']",calla,dutxa,tocat,8
30,Catalan,gpt4,calli,i,72,"['mengi', 'causi', 'provi', 'conti']",calli,cridi,podis,3
31,Catalan,gpt4,soldat,at,266,"['cremat', 'editat', 'tallat', 'pintat']",soldat,acusat,tocava,8
32,Catalan,gpt4,inclinat,at,266,"['assetjat', 'fascinat', 'recaptat', 'reclutat']",inclinat,derrocat,aportava,4
33,Catalan,gpt4,dialogant,ant,519,"['disposant', 'retornant', 'calculant', 'predicant']",dialogant,molestant,anunciés,3
34,Catalan,gpt4,esforcem,em,336,"['estudiem', 'perdonem', 'estrenem', 'escalfem']",esforcem,llegirem,provoqui,3
35,Catalan,gpt4,preservat,at,266,"['condensat', 'descansat', 'instaurat', 'arraconat']",preservat,pertorbat,trencarem,1
36,Catalan,gpt4,visitat,at,266,"['esperat', 'afectat', 'apartat', 'limitat']",visitat,centrat,baralla,8
37,Catalan,gpt4,visiten,en,268,"['estimen', 'inicien', 'generen', 'superen']",visiten,figuren,afirmat,7
38,Catalan,gpt4,aprofitat,at,266,"['mencionat', 'comprovat', 'recomanat', 'debilitat']",aprofitat,acostumat,publiquen,7
39,Catalan,gpt4,aprofitin,in,258,"['paguessin', 'acabessin', 'entressin', 'despertin']",aprofitin,reuneixin,codificat,2
40,Catalan,gpt4,fomentat,at,266,"['escalfat', 'passejat', 'comandat', 'decretat']",fomentat,desafiat,respirem,3
41,Catalan,gpt4,fomentem,em,336,"['rescatem', 'apliquem', 'vencerem', 'passegem']",fomentem,cridarem,atempten,2
42,Catalan,gpt4,senyalant,ant,519,"['retratant', 'rescatant', 'remarcant', 'esquivant']",senyalant,insinuant,trepitges,0
43,Catalan,gpt4,contant,ant,519,"['gastant', 'animant', 'violant', 'situant']",contant,somiant,portats,5
44,Catalan,gpt4,contat,at,266,"['captat', 'dictat', 'tastat', 'pactat']",contat,torrat,guardo,5
45,Catalan,gpt4,contes,es,288,"['reptes', 'restes', 'formes', 'ajudes']",contes,voltes,passen,9
46,Catalan,gpt4,contava,ava,2979,"['causava', 'operava', 'violava', 'tallava']",contava,penjava,servits,2
47,Catalan,gpt4,conti,i,72,"['causi', 'calli', 'mengi', 'pengi']",conti,cridi,mudes,3
48,Catalan,gpt4,rescatant,ant,519,"['refredant', 'enterrant', 'mossegant', 'arriscant']",rescatant,insinuant,revelarà,0
49,Catalan,gpt4,rescatat,at,266,"['congelat', 'arrencat', 'refredat', 'assaltat']",rescatat,apreciat,agafarem,5
50,Catalan,gpt4,rescatem,em,336,"['apliquem', 'passegem', 'vencerem', 'fomentem']",rescatem,apreciem,difereix,2
51,Catalan,gpt4,rescaten,en,268,"['escampen', 'donarien', 'afronten', 'barregen']",rescaten,recolzen,guanyats,4
